Listening on 0.0.0.0:5001, frame=4110 bytes, payload=4096 bytesMetrics WebSocket listening on ws://127.0.0.1:8765

CSV output: captures\frames_20260731_213315.csv and captures\metrics_20260731_213315.csv
SQLite output: captures\bandwidth_capture.sqlite3
InfluxDB output: http://127.0.0.1:8086 org=neural-link-lab bucket=esp32s3_bandwidth
Connected by ('192.168.137.115', 65481)
fps=19.6 rate=78.5 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=49.99 ms jitter=59.15 ms bw_jitter=1.90 KiB/s
fps=20.5 rate=82.2 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=50.03 ms jitter=58.24 ms bw_jitter=1.90 KiB/s
fps=19.5 rate=78.4 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=49.93 ms jitter=56.07 ms bw_jitter=1.90 KiB/s
fps=20.5 rate=82.3 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=49.95 ms jitter=50.06 ms bw_jitter=1.90 KiB/s
fps=19.4 rate=78.0 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=50.32 ms jitter=53.01 ms bw_jitter=1.91 KiB/s
fps=20.6 rate=82.7 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=49.84 ms jitter=58.12 ms bw_jitter=1.94 KiB/s
fps=19.3 rate=77.4 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=53.92 ms jitter=57.82 ms bw_jitter=1.98 KiB/s
fps=20.8 rate=83.5 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=46.31 ms jitter=44.87 ms bw_jitter=2.04 KiB/s
fps=19.5 rate=78.4 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=49.80 ms jitter=53.43 ms bw_jitter=2.04 KiB/s
fps=20.5 rate=82.2 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=50.04 ms jitter=57.28 ms bw_jitter=2.03 KiB/s
fps=19.4 rate=77.8 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=53.57 ms jitter=52.90 ms bw_jitter=2.08 KiB/s
fps=20.6 rate=82.7 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=46.39 ms jitter=45.44 ms bw_jitter=2.08 KiB/s
fps=19.5 rate=78.1 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=53.66 ms jitter=54.86 ms bw_jitter=2.07 KiB/s
fps=20.5 rate=82.3 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=48.74 ms jitter=42.73 ms bw_jitter=2.05 KiB/s
fps=19.7 rate=79.0 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=47.94 ms jitter=43.96 ms bw_jitter=2.02 KiB/s
fps=20.3 rate=81.6 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=51.90 ms jitter=58.77 ms bw_jitter=2.01 KiB/s
fps=19.7 rate=79.1 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=47.97 ms jitter=41.65 ms bw_jitter=1.99 KiB/s
fps=19.5 rate=78.3 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=52.17 ms jitter=55.10 ms bw_jitter=1.99 KiB/s
fps=20.4 rate=81.8 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=50.81 ms jitter=44.21 ms bw_jitter=2.00 KiB/s
fps=19.6 rate=78.7 KiB/s missing=0 loss=0.000% crc_errors=0 old=0 avg_interval=49.13 ms jitter=48.82 ms bw_jitter=2.00 KiB/s
