cluster_id	ContamPct
0	125.5
1	128.0
2	121.8
3	123.2
4	127.6
5	129.3
6	124.6
7	104.4
8	80.2
9	128.4
10	0.0
11	120.2
12	125.3
13	46.4
14	0.0
15	96.1
16	132.5
17	77.6
18	0.0
19	51.1
20	126.7
21	60.1
22	0.0
23	0.0
24	0.0
25	0.0
26	129.9
27	6.2
28	0.0
29	54.8
30	67.3
31	66.4
32	0.0
33	69.9
34	0.0
35	134.4
36	74.9
37	24.7
38	0.0
39	0.0
40	0.0
41	73.6
42	85.1
43	136.7
44	47.8
45	41.7
46	22.2
47	52.9
48	0.0
49	68.6
50	49.4
51	118.9
52	83.4
53	74.7
54	131.1
55	136.5
56	115.7
57	63.7
58	80.9
59	76.5
60	22.1
61	119.7
62	90.0
63	16.5
64	82.9
65	100.7
66	0.0
67	95.4
68	15.1
69	117.0
70	86.0
71	0.0
72	40.2
73	307.7
74	8.1
75	35.8
76	1.8
77	0.0
78	13.6
79	0.0
80	28.5
81	0.0
82	207.4
83	0.0
84	19.2
85	2.3
86	0.5
87	16.8
88	62.6
89	0.0
90	76.2
91	0.0
92	0.0
93	52.4
94	57.1
95	2.9
96	114.1
97	5.7
98	3.5
99	4.7
100	28.5
101	12.1
102	41.8
103	5.0
104	1.9
105	45.5
106	8.3
107	42.4
108	3.6
109	10.1
110	0.0
111	99.1
112	0.0
113	32.4
114	31.4
115	4.3
116	34.8
117	74.1
118	32.6
119	4.9
120	0.0
121	0.0
122	2.1
123	0.0
124	39.8
125	0.0
126	19.4
127	2.5
128	0.0
129	43.6
130	2.2
131	0.0
132	0.0
133	0.0
134	9.5
135	10.2
136	55.2
137	49.8
138	54.1
139	69.7
140	30.9
141	156.2
142	0.0
143	11.5
144	0.0
145	0.0
146	52.7
147	145.7
148	0.0
149	0.0
150	0.0
151	131.8
152	0.0
153	0.0
154	181.5
155	104.1
156	15.3
157	166.1
158	113.3
159	183.0
160	136.6
161	223.7
162	221.3
163	265.6
164	136.5
165	264.0
166	564.2
167	149.5
168	127.8
169	113.5
170	109.9
171	91.2
172	102.0
173	160.6
174	126.0
175	130.7
176	115.7
177	131.5
178	142.3
179	158.4
180	191.8
181	117.4
182	111.3
183	126.4
184	166.2
185	132.8
186	150.1
187	174.1
188	147.3
189	167.0
190	138.8
191	300.0
