neuron_id,baseline_spikes,compressed_spikes,matched_spikes_after_binning,binned_count_accuracy,sensitivity,ratio
0,748,1022,481,0.643048128342246,0.356951871657754,0.30
1,605,856,358,0.5917355371900826,0.40826446280991735,0.30
2,1175,1615,740,0.6297872340425532,0.3702127659574468,0.30
3,1351,1063,763,0.5647668393782384,0.43523316062176165,0.30
4,1464,1018,1018,0.6953551912568307,0.30464480874316935,0.30
5,260,324,203,0.7807692307692308,0.21923076923076923,0.30
6,1079,1078,1078,0.9990732159406858,0.000926784059314234,0.30
7,610,452,432,0.7081967213114754,0.2918032786885246,0.30
8,95,262,35,0.3684210526315789,0.631578947368421,0.30
9,769,556,494,0.6423927178153446,0.35760728218465543,0.30
10,268,262,199,0.7425373134328358,0.2574626865671642,0.30
11,678,760,544,0.8023598820058997,0.1976401179941003,0.30
12,834,1053,615,0.737410071942446,0.262589928057554,0.30
13,591,755,432,0.7309644670050761,0.2690355329949239,0.30
14,258,372,158,0.6124031007751938,0.3875968992248062,0.30
15,505,365,334,0.6613861386138614,0.3386138613861386,0.30
16,380,300,252,0.6631578947368421,0.33684210526315794,0.30
17,864,993,653,0.7557870370370371,0.2442129629629629,0.30
18,320,440,202,0.63125,0.36875,0.30
19,405,507,305,0.7530864197530864,0.24691358024691357,0.30
20,515,271,256,0.4970873786407767,0.5029126213592233,0.30
21,805,1106,504,0.6260869565217392,0.3739130434782608,0.30
22,230,242,165,0.717391304347826,0.28260869565217395,0.30
23,371,418,322,0.8679245283018868,0.13207547169811318,0.30
24,333,420,265,0.7957957957957958,0.20420420420420415,0.30
25,576,758,400,0.6944444444444444,0.3055555555555556,0.30
26,534,535,446,0.8352059925093633,0.16479400749063666,0.30
27,649,762,530,0.8166409861325116,0.18335901386748843,0.30
28,469,553,315,0.6716417910447762,0.32835820895522383,0.30
29,1135,1395,875,0.7709251101321586,0.2290748898678414,0.30
30,220,369,115,0.5227272727272727,0.4772727272727273,0.30
31,176,280,96,0.5454545454545454,0.4545454545454546,0.30
32,2649,2700,2448,0.9241223103057757,0.07587768969422426,0.30
33,942,635,611,0.648619957537155,0.35138004246284504,0.30
34,293,356,243,0.8293515358361775,0.1706484641638225,0.30
35,166,265,80,0.4819277108433735,0.5180722891566265,0.30
36,300,401,192,0.64,0.36,0.30
37,128,140,82,0.640625,0.359375,0.30
38,410,418,390,0.9512195121951219,0.04878048780487809,0.30
39,391,334,280,0.7161125319693095,0.28388746803069054,0.30
40,565,664,458,0.8106194690265487,0.1893805309734513,0.30
41,255,403,125,0.49019607843137253,0.5098039215686274,0.30
42,320,381,259,0.809375,0.19062500000000004,0.30
43,784,840,724,0.923469387755102,0.07653061224489799,0.30
44,944,863,851,0.9014830508474576,0.09851694915254239,0.30
45,147,232,68,0.46258503401360546,0.5374149659863945,0.30
46,262,411,130,0.4961832061068702,0.5038167938931297,0.30
47,494,443,386,0.7813765182186235,0.21862348178137647,0.30
48,189,310,75,0.3968253968253968,0.6031746031746033,0.30
49,397,414,380,0.9571788413098237,0.04282115869017633,0.30
50,1212,1541,862,0.7112211221122112,0.2887788778877888,0.30
51,551,724,366,0.6642468239564429,0.33575317604355714,0.30
52,56,201,11,0.19642857142857142,0.8035714285714286,0.30
53,415,562,267,0.6433734939759036,0.3566265060240964,0.30
54,243,279,172,0.7078189300411523,0.29218106995884774,0.30
55,831,918,734,0.8832731648616126,0.11672683513838744,0.30
56,124,158,96,0.7741935483870968,0.22580645161290325,0.30
57,139,185,102,0.7338129496402878,0.26618705035971224,0.30
58,169,242,102,0.6035502958579881,0.39644970414201186,0.30
59,752,708,644,0.8563829787234043,0.1436170212765957,0.30
60,77,147,42,0.5454545454545454,0.4545454545454546,0.30
61,271,350,201,0.7416974169741697,0.2583025830258303,0.30
62,238,272,172,0.7226890756302521,0.2773109243697479,0.30
63,275,200,196,0.7127272727272728,0.28727272727272724,0.30
64,682,742,622,0.9120234604105572,0.08797653958944285,0.30
65,548,563,497,0.906934306569343,0.09306569343065696,0.30
66,153,222,100,0.6535947712418301,0.3464052287581699,0.30
67,262,440,107,0.4083969465648855,0.5916030534351144,0.30
68,197,214,153,0.7766497461928934,0.2233502538071066,0.30
69,663,790,530,0.799396681749623,0.20060331825037703,0.30
70,438,502,379,0.865296803652968,0.13470319634703198,0.30
71,467,569,338,0.7237687366167024,0.2762312633832976,0.30
72,816,782,738,0.9044117647058824,0.09558823529411764,0.30
73,947,964,928,0.9799366420274551,0.020063357972544882,0.30
74,902,902,854,0.9467849223946785,0.053215077605321515,0.30
75,334,425,212,0.6347305389221557,0.3652694610778443,0.30
76,488,456,408,0.8360655737704918,0.16393442622950816,0.30
77,817,872,710,0.8690330477356181,0.13096695226438193,0.30
78,34,118,11,0.3235294117647059,0.6764705882352942,0.30
79,542,759,318,0.5867158671586716,0.41328413284132837,0.30
80,577,702,453,0.7850953206239168,0.21490467937608315,0.30
81,280,462,115,0.4107142857142857,0.5892857142857143,0.30
82,586,483,421,0.7184300341296929,0.28156996587030714,0.30
83,127,159,89,0.7007874015748031,0.2992125984251969,0.30
84,438,319,307,0.7009132420091324,0.2990867579908676,0.30
85,256,360,157,0.61328125,0.38671875,0.30
86,4139,4145,4111,0.9932350809374245,0.006764919062575481,0.30
87,426,608,257,0.6032863849765259,0.39671361502347413,0.30
88,229,351,132,0.5764192139737991,0.42358078602620086,0.30
89,82,139,33,0.4024390243902439,0.5975609756097561,0.30
90,456,439,345,0.756578947368421,0.24342105263157898,0.30
91,242,388,123,0.5082644628099173,0.49173553719008267,0.30
92,766,725,675,0.881201044386423,0.118798955613577,0.30
93,752,578,574,0.7632978723404256,0.23670212765957444,0.30
94,4211,4204,4194,0.9959629541676561,0.004037045832343877,0.30
95,1089,1135,1043,0.9577594123048668,0.04224058769513317,0.30
96,360,539,193,0.5361111111111111,0.4638888888888889,0.30
97,591,671,511,0.8646362098138748,0.1353637901861252,0.30
98,1185,1146,1064,0.8978902953586498,0.10210970464135016,0.30
99,750,961,537,0.716,0.28400000000000003,0.30
100,936,1078,780,0.8333333333333334,0.16666666666666663,0.30
101,977,469,469,0.48004094165813715,0.5199590583418628,0.30
102,111,232,40,0.36036036036036034,0.6396396396396397,0.30
103,454,608,309,0.6806167400881057,0.3193832599118943,0.30
104,274,313,229,0.8357664233576643,0.16423357664233573,0.30
105,214,322,122,0.5700934579439252,0.4299065420560748,0.30
106,270,518,49,0.1814814814814815,0.8185185185185185,0.30
107,655,683,589,0.899236641221374,0.10076335877862597,0.30
108,440,558,319,0.725,0.275,0.30
109,387,438,336,0.8682170542635659,0.13178294573643412,0.30
110,94,249,18,0.19148936170212766,0.8085106382978724,0.30
111,1354,1239,1195,0.8825701624815362,0.11742983751846381,0.30
112,316,488,172,0.5443037974683544,0.45569620253164556,0.30
113,149,367,33,0.2214765100671141,0.7785234899328859,0.30
114,391,543,253,0.6470588235294118,0.3529411764705882,0.30
115,384,335,276,0.71875,0.28125,0.30
116,535,563,471,0.8803738317757009,0.11962616822429906,0.30
117,432,344,323,0.7476851851851852,0.25231481481481477,0.30
118,223,338,119,0.5336322869955157,0.4663677130044843,0.30
119,492,553,431,0.8760162601626016,0.12398373983739841,0.30
120,541,561,509,0.9408502772643254,0.05914972273567465,0.30
121,499,530,468,0.9378757515030061,0.06212424849699394,0.30
122,451,484,412,0.9135254988913526,0.0864745011086474,0.30
123,763,631,597,0.7824377457404981,0.21756225425950193,0.30
