ratio,n_baseline_events,n_detected_events,detection_rate_on_baseline_events,classification_accuracy_on_detected_events,binned_count_accuracy_micro,binned_count_accuracy_macro,matched_spikes_after_binning,baseline_spikes_for_binning,bin_size_seconds
0.10,137378,14950,0.10882382914294865,0.22749163879598663,0.5645758874953596,0.5531661241183595,77562,137381,1.0
0.20,137378,16373,0.11918211067274236,0.24491540951566604,0.7743210487622014,0.7333034012441693,106377,137381,1.0
0.30,137378,16489,0.1200264962366609,0.25186487961671417,0.8231633195274456,0.7555274726695039,113087,137381,1.0
0.50,137378,16975,0.1235641805820437,0.2511340206185567,0.8237674787634389,0.7542999468308539,113170,137381,1.0
0.70,137378,17253,0.12558779426108985,0.2507969628470411,0.8238839431944738,0.7543314148613295,113186,137381,1.0
1.00,137378,16962,0.12346955116539766,0.2523287348190072,0.8237310836287405,0.7541644870582545,113165,137381,1.0
