cluster_id	ContamPct
0	102.4
1	111.1
2	94.4
3	97.0
4	134.6
5	0.0
6	123.4
7	87.7
8	82.9
9	108.4
10	69.8
11	79.0
12	84.9
13	0.0
14	99.6
15	93.6
16	104.0
17	0.0
18	98.4
19	0.0
20	0.0
21	117.4
22	107.5
23	3.4
24	0.0
25	96.2
26	15.4
27	98.5
28	104.8
29	9.3
30	103.5
31	116.5
32	80.9
33	76.1
34	93.2
35	0.0
36	95.3
37	107.0
38	59.8
39	110.3
40	106.1
41	0.0
42	107.3
43	68.9
44	101.0
45	0.0
46	110.3
47	100.5
48	87.4
49	80.6
50	70.5
51	75.5
52	105.8
53	0.0
54	37.0
55	6.6
56	110.0
57	108.5
58	106.6
59	108.0
60	2.8
61	99.7
62	8.9
63	0.0
64	0.0
65	100.1
66	4.6
67	106.2
68	12.9
69	0.0
70	104.1
71	0.0
72	0.0
73	109.6
74	83.1
75	102.7
76	0.0
77	114.2
78	103.3
79	95.3
80	91.8
81	91.1
82	101.2
83	97.9
84	101.4
85	119.7
86	124.1
87	94.0
88	94.3
89	109.3
90	88.7
91	74.4
92	91.4
93	97.7
94	90.1
95	92.2
96	96.5
97	95.2
98	97.7
99	101.7
100	85.0
101	78.1
102	70.7
103	86.2
104	84.5
105	102.6
106	88.1
107	78.0
108	62.8
109	92.0
110	71.9
111	101.3
112	71.1
113	64.3
114	58.3
