cluster_id	ContamPct
0	121.5
1	97.5
2	84.4
3	143.8
4	0.0
5	29.8
6	41.7
7	146.4
8	62.2
9	77.2
10	76.8
11	16.1
12	90.9
13	104.1
14	83.9
15	57.9
16	52.8
17	63.0
18	124.9
19	105.1
20	32.3
21	0.0
22	74.4
23	36.8
24	0.0
25	0.0
26	0.0
27	94.2
28	108.0
29	3.0
30	101.3
31	42.3
32	64.8
33	0.0
34	44.5
35	0.0
36	14.0
37	97.9
38	40.3
39	59.1
40	87.9
41	0.0
42	6.6
43	97.8
44	11.9
45	8.2
46	0.0
47	0.0
48	106.4
49	0.0
50	16.1
51	34.2
52	0.0
53	0.0
54	79.1
55	44.0
56	1.8
57	77.7
58	50.8
59	101.7
60	0.0
61	0.0
62	77.8
63	125.0
64	89.1
65	102.8
66	0.0
67	0.0
68	109.9
69	94.1
70	78.5
71	0.0
72	7.0
73	1.4
74	75.0
75	3.6
76	118.6
77	28.6
78	35.3
79	97.0
80	0.0
81	29.5
82	67.6
83	13.9
84	10.8
85	38.5
86	0.0
87	90.0
88	20.9
89	12.5
90	95.3
91	20.1
92	0.0
93	6.1
94	0.0
95	107.8
96	57.9
97	6.7
98	90.4
99	89.3
100	1.5
101	9.2
102	1.4
103	59.7
104	68.4
105	92.2
106	0.0
107	11.6
108	0.0
109	116.1
110	1.0
111	18.5
112	56.6
113	20.3
114	12.6
115	0.0
116	92.7
117	14.0
118	10.9
119	0.0
120	3.8
121	101.5
122	3.5
123	98.7
124	95.5
125	14.4
126	0.0
127	96.9
128	87.8
129	35.4
130	37.7
131	131.9
132	88.4
133	117.6
134	137.8
135	0.0
136	109.5
137	15.7
138	152.1
139	112.6
140	92.9
141	81.4
142	85.0
143	83.2
144	95.8
145	103.0
146	111.1
147	95.2
148	101.5
149	94.4
150	99.7
151	78.4
152	95.2
153	108.9
154	86.8
155	103.1
156	81.8
157	71.9
158	93.3
159	95.4
160	96.8
161	99.1
162	90.4
163	85.5
164	50.0
165	50.2
