run_label,run_type,eid,probe,ks_dir,ratio,n_units,population_baseline_spikes,population_kept_spikes,random_subsample_population_mean_bin_accuracy,mean_bin_accuracy,median_neuron_accuracy,p10_neuron_accuracy,p90_neuron_accuracy,all_neuron_min_accuracy,all_neuron_fraction_ge_090,all_neuron_fraction_ge_095,all_neuron_fraction_ge_098
9545aa05_probe01_20260706_234838,full,9545aa05-3945-4054-a5c3-a259f7209d61,probe01,G:\academic\week8_kilosort4_runs\9545aa05_probe01_20260706_234838\kilosort4,0.5,755,22392103,11200009,0.500176736414619,0.5003372152666568,0.5000633044946191,0.49316476992905534,0.5076226797962669,0.4396782841823056,0.0,0.0,0.0
9545aa05_probe01_20260706_234838,full,9545aa05-3945-4054-a5c3-a259f7209d61,probe01,G:\academic\week8_kilosort4_runs\9545aa05_probe01_20260706_234838\kilosort4,0.7,755,22392103,15673466,0.6999550689812386,0.7002048758111873,0.7000371241183022,0.6933021131919996,0.7073270484071151,0.6588235294117647,0.0,0.0,0.0
9545aa05_probe01_20260706_234838,full,9545aa05-3945-4054-a5c3-a259f7209d61,probe01,G:\academic\week8_kilosort4_runs\9545aa05_probe01_20260706_234838\kilosort4,1.0,755,22392103,22392103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bb099402_probe00_20260702_202008,full,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,G:\academic\week8_kilosort4_runs\bb099402_probe00_20260702_202008\kilosort4,0.1,848,46554980,4653395,0.0999548276038353,0.09986061682990327,0.09991439868165594,0.09649508483281773,0.10296512684367595,0.068901303538175,0.0,0.0,0.0
bb099402_probe00_20260702_202008,full,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,G:\academic\week8_kilosort4_runs\bb099402_probe00_20260702_202008\kilosort4,0.2,848,46554980,9307237,0.19991925675835323,0.2000470909466451,0.1998890284076895,0.19570950006618776,0.2046420030047396,0.1669266770670827,0.0,0.0,0.0
bb099402_probe00_20260702_202008,full,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,G:\academic\week8_kilosort4_runs\bb099402_probe00_20260702_202008\kilosort4,0.3,848,46554980,13963045,0.2999259155518916,0.2999224218706024,0.2999108239626958,0.29548846919015737,0.3047977308958794,0.2619718309859155,0.0,0.0,0.0
bb099402_probe00_20260702_202008,full,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,G:\academic\week8_kilosort4_runs\bb099402_probe00_20260702_202008\kilosort4,0.5,848,46554980,23282267,0.5001026098604274,0.500253048843668,0.5001705881923784,0.49498228332412014,0.5063517452242278,0.4490291262135922,0.0,0.0,0.0
bb099402_probe00_20260702_202008,full,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,G:\academic\week8_kilosort4_runs\bb099402_probe00_20260702_202008\kilosort4,0.7,848,46554980,32585955,0.6999456341727566,0.6998915376694618,0.6999563538437683,0.694995320637316,0.7052164113765715,0.6295264623955432,0.0,0.0,0.0
bb099402_probe00_20260702_202008,full,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,G:\academic\week8_kilosort4_runs\bb099402_probe00_20260702_202008\kilosort4,1.0,848,46554980,46554980,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cde63527_probe00_20260702_011809,full,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe00,G:\academic\week8_kilosort4_runs\cde63527_probe00_20260702_011809\kilosort4,0.1,445,8812220,882037,0.10009248520804065,0.09958596671893587,0.0998296504814488,0.0930643763885817,0.10546814414501744,0.068259385665529,0.0,0.0,0.0
cde63527_probe00_20260702_011809,full,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe00,G:\academic\week8_kilosort4_runs\cde63527_probe00_20260702_011809\kilosort4,0.2,445,8812220,1761618,0.19990626652534776,0.20000710724985576,0.1998554100730982,0.19243391152782507,0.20707902848802412,0.1616161616161616,0.0,0.0,0.0
cde63527_probe00_20260702_011809,full,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe00,G:\academic\week8_kilosort4_runs\cde63527_probe00_20260702_011809\kilosort4,0.3,445,8812220,2642630,0.29988243598094466,0.30015008203635163,0.2999842940160201,0.29029458310008005,0.30888227359083553,0.2588832487309644,0.0,0.0,0.0
cde63527_probe00_20260702_011809,full,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe00,G:\academic\week8_kilosort4_runs\cde63527_probe00_20260702_011809\kilosort4,0.5,445,8812220,4408159,0.5002325180261047,0.49987033815799187,0.5,0.48923283646864413,0.5093580651811823,0.4239130434782608,0.0,0.0,0.0
cde63527_probe00_20260702_011809,full,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe00,G:\academic\week8_kilosort4_runs\cde63527_probe00_20260702_011809\kilosort4,0.7,445,8812220,6169235,0.7000772790511358,0.7006996819096822,0.7007017660558087,0.6919551160649122,0.7102873068223992,0.6195652173913043,0.0,0.0,0.0
cde63527_probe00_20260702_011809,full,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe00,G:\academic\week8_kilosort4_runs\cde63527_probe00_20260702_011809\kilosort4,1.0,445,8812220,8812220,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cde63527_probe01_partial_20260712_222836,partial,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,0.1,233,386730,38696,0.1000594730173506,0.10036719840202851,0.0993679775280898,0.08633908524617304,0.11266519909935499,0.055350553505535,0.0,0.0,0.0
cde63527_probe01_partial_20260712_222836,partial,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,0.2,233,386730,77256,0.1997672794973237,0.2014042135187026,0.1997857525441885,0.18141092327698308,0.22276712791723774,0.1337209302325581,0.0,0.0,0.0
cde63527_probe01_partial_20260712_222836,partial,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,0.3,233,386730,116372,0.30091278152716366,0.30177075513530643,0.3009009009009009,0.28126740947075207,0.3244499393273348,0.2379518072289156,0.0,0.0,0.0
cde63527_probe01_partial_20260712_222836,partial,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,0.5,233,386730,193248,0.4996974633465208,0.49942783945367347,0.5005246589716684,0.47204269281786554,0.5247170889693274,0.4256410256410256,0.0,0.0,0.0
cde63527_probe01_partial_20260712_222836,partial,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,0.7,233,386730,270850,0.7003594238874667,0.6999471596431538,0.7013041649137568,0.68021103117506,0.7210302924588639,0.5822784810126582,0.0,0.0,0.0
cde63527_probe01_partial_20260712_222836,partial,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,1.0,233,386730,386730,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dd4da095_probe00_partial_20260712_222836,partial,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,0.1,360,712112,71174,0.0999477610263554,0.10008803776862758,0.09976068944164655,0.08831477318276079,0.1107537968792722,0.0465116279069767,0.0,0.0,0.0
