cluster_id	ContamPct
0	0.0
1	15.2
2	50.3
3	37.4
4	34.5
5	31.9
6	108.1
7	0.0
8	0.0
9	0.0
10	35.0
11	34.6
12	74.2
13	0.0
14	21.7
15	80.4
16	0.0
17	109.0
18	107.1
19	1.6
20	90.2
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	85.1
27	0.0
28	0.0
29	71.3
30	7.5
31	16.3
32	31.3
33	93.4
34	46.7
35	75.7
36	0.0
37	0.0
38	30.8
39	5.0
40	178.5
41	0.0
42	13.8
43	122.2
44	125.5
45	106.5
46	0.0
47	0.0
48	0.0
49	0.0
50	0.0
51	4.2
52	139.7
53	119.3
54	160.1
55	0.0
56	0.0
57	0.0
58	0.0
59	197.6
60	206.9
61	137.3
62	87.4
63	14.6
64	0.0
65	313.4
66	0.0
67	0.0
68	86.0
69	246.7
70	23.8
71	74.9
72	151.4
73	166.7
74	89.2
75	3.5
76	0.0
77	14.9
78	60.0
79	91.4
80	69.8
81	65.6
82	62.8
83	79.2
84	50.0
85	80.8
86	49.2
87	31.8
88	94.9
89	48.0
90	32.4
91	56.0
92	50.6
93	6.6
94	0.0
95	0.0
96	3.9
97	56.9
98	78.3
99	84.2
100	80.0
101	57.7
102	6.4
103	0.0
104	0.0
105	90.0
106	67.3
107	54.0
108	4.4
109	3.8
110	50.0
111	53.4
112	30.8
113	14.2
114	59.0
115	0.0
116	3.0
117	4.5
118	0.0
119	112.3
120	99.7
121	71.1
122	0.0
123	0.0
124	0.0
125	0.0
126	99.9
127	76.3
128	44.3
129	60.0
130	0.0
131	0.0
132	0.0
133	41.4
134	50.0
135	13.5
136	61.4
137	98.1
138	86.8
139	0.0
140	0.0
141	60.3
142	0.0
143	101.9
144	72.0
145	1.4
146	26.9
147	62.0
148	66.4
149	76.5
150	24.4
151	183.5
152	17.0
153	40.4
154	5.2
155	58.9
156	56.1
157	103.2
158	0.0
159	56.7
160	91.8
161	16.1
162	41.3
163	56.4
164	18.5
165	79.6
166	51.0
167	0.0
168	0.0
169	258.1
170	76.2
171	33.6
172	116.8
173	61.9
174	83.0
175	88.1
176	86.6
177	0.0
178	0.0
179	0.0
180	0.0
181	250.0
182	400.0
183	44.8
184	305.7
185	109.2
186	362.3
187	438.1
188	225.8
189	197.9
190	2.6
191	5.3
192	170.8
193	93.3
194	0.0
195	206.1
196	91.0
197	195.8
198	111.2
199	0.0
200	135.9
201	158.6
202	132.5
203	0.0
204	49.8
205	0.0
206	169.6
207	26.0
208	0.0
209	40.4
210	0.0
211	66.5
212	77.8
213	87.0
214	0.0
215	0.0
216	0.0
217	0.0
218	240.0
219	29.4
220	0.0
221	13.1
222	25.2
223	3.7
224	564.1
225	97.6
226	424.2
227	0.0
228	0.0
229	0.0
230	102.2
231	377.9
232	343.7
233	205.5
234	101.0
235	555.6
236	159.3
237	50.1
238	330.5
239	178.9
240	280.0
241	158.2
242	324.3
243	119.5
244	0.0
245	11.4
246	172.0
247	270.9
248	254.5
249	172.7
250	168.6
251	285.7
252	200.0
253	118.9
254	175.5
255	248.5
256	400.0
257	87.0
258	176.5
259	191.9
260	48.4
261	296.1
262	248.6
263	161.1
264	222.2
265	216.6
266	49.8
267	208.0
268	115.8
269	156.0
270	172.6
271	25.6
272	146.8
273	21.8
274	127.7
275	112.5
276	148.2
277	48.2
278	105.6
279	175.1
280	0.0
281	176.5
282	0.0
283	11.7
284	151.5
285	45.9
286	109.8
287	9.0
288	0.0
289	22.0
290	2.2
291	58.8
292	79.3
293	71.3
294	0.0
295	0.0
296	15.1
297	55.8
298	15.5
299	0.0
300	0.0
301	0.0
302	0.0
303	32.0
304	30.2
305	0.0
306	37.1
307	35.7
308	229.1
309	0.0
310	0.0
311	93.0
312	22.4
313	44.2
314	57.1
315	107.0
316	0.0
317	0.0
318	14.7
319	21.8
320	42.3
321	0.0
322	55.4
323	21.0
324	45.1
325	32.1
326	98.2
327	0.0
328	11.5
329	68.8
330	66.7
331	0.0
332	0.0
333	0.0
334	112.2
335	103.1
336	54.0
337	0.0
338	0.0
339	57.3
340	27.0
341	61.7
342	0.0
343	70.9
344	184.1
345	112.7
346	132.7
347	228.6
348	63.0
349	137.9
350	0.0
351	58.8
352	0.0
353	26.5
354	0.0
355	0.0
356	69.6
357	169.0
358	57.0
359	0.0
360	0.0
361	0.0
362	0.0
363	0.0
364	229.0
365	45.8
366	0.0
