eid,labs,subjects,recording_dates,n_insertions,probes,probe_types,pids,dset_bwm,dset_rs,n_good_clusters_total,n_overall_clusters_total,n_spikes_total,n_trials,duration_seconds,recording_minutes,n_unique_regions,n_good_unique_regions,brain_region_acronyms,good_brain_region_acronyms,session_json_bytes_total
0841d188-8ef2-4f20-9828-76a94d5343a4,churchlandlab_ucla,UCLA049,2022-08-02,2,probe00;probe01,3B2,c6e294f7-5421-4697-8618-8ccc9b0269f6;dd75e810-a399-4364-9d4a-517312cf3010,true,false,128,1460,6183477,505,4221.18566818424,70,21,16,VISa5;VISa6a;VISa6b;or;ccs;alv;CA1;DG-mo;DG-sg;DG-po;fiber tracts;bsc;MB;LP;APN;MRN;VISa2/3;VISa4;fp;root;POL,or;CA1;DG-sg;DG-po;LP;APN;MRN;VISa4;VISa5;VISa6a;DG-mo;root;bsc;fiber tracts;POL;MB,66104
687017d4-c9fc-458f-a7d5-0979fe1a7470,churchlandlab_ucla,UCLA052,2022-07-12,1,probe00,3B2,f68d9f26-ac40-4c67-9cbf-9ad1851292f7,true,false,93,914,5572668,436,5281.653771343287,88,16,11,VISam4;VISam5;VISam2/3;VISam6a;DG-mo;VISam6b;or;fp;alv;CA1;MRN;APN;DG-sg;root;bsc;MB,VISam5;VISam6a;VISam6b;or;fp;CA1;DG-mo;DG-sg;bsc;APN;MRN,37181
16693458-0801-4d35-a3f1-9115c7e5acfd,cortexlab,KS014,2019-12-03,2,probe00;probe01,3B2,53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2;b543e81e-4c8f-415e-82ec-631b177d19d2,true,false,270,1912,12972792,531,2926.3462977891804,48,23,17,SCsg;SCop;SCig;SCiw;RN;ml;MRN;MB;VISpm1;VISpm2/3;RSPagl2/3;RSPagl5;RSPagl6a;RSPd6a;RSPv6a;RSPv5;RSPv2/3;RSPv1;void;SCzo;PAG;SCdg;SCdw,SCsg;SCig;SCiw;MB;MRN;RN;ml;RSPagl5;RSPd6a;RSPv6a;RSPv5;RSPv2/3;RSPv1;SCzo;SCdg;SCdw;PAG,82312
e1931de1-cf7b-49af-af33-2ade15e8abe7,cortexlab,KS014,2019-12-05,2,probe00;probe01,3B2,9150758e-1390-41d1-b426-96675e60dbea;fe2d6fc9-b0c4-4256-b427-9c06950da925,true,false,171,1217,13001497,688,3664.008579931614,61,32,25,VISp1;VISp2/3;VISp4;VISp5;VISp6a;VISp6b;scwm;fp;dhc;POST;SUB;root;bsc;SCig;APN;MB;MRN;SCop;SCiw;SCdg;PAG;SCdw;ND;III;mlf;RL;CLI;IPDL;mtg;IF;IPDM;IPA,VISp1;VISp2/3;VISp4;VISp5;VISp6a;scwm;fp;SUB;root;SCig;MB;APN;MRN;SCiw;SCdg;PAG;III;mlf;mtg;RL;CLI;IF;IPDM;IPA;IPDL,67037
b9c205c3-feac-485b-a89d-afc96d9cb280,cortexlab,KS014,2019-12-07,1,probe00,3B2,ea931b15-6214-4b80-8d88-7acbbe071bc0,true,false,97,790,6163377,657,3587.6158047005006,59,10,6,VISp6a;VISp6b;fp;POST;root;fiber tracts;SCig;SCiw;MRN;MB,fp;POST;SCig;SCiw;MB;MRN,38391
dd87e278-999d-478b-8cbd-b5bf92b84763,cortexlab,KS016,2019-12-09,2,probe01;probe00,3B2,15a2a63f-739d-4eb0-ab8f-fc95b6299b68;46448da7-ad7b-4ca8-b3ab-2d1d47439cbf,true,false,148,1517,9320752,744,3487.1586688538378,58,15,12,SCiw;SCdg;SCdw;MB;MRN;scp;PRNr;TRN;void;SCzo;SCsg;SCop;SCig;rust;RR,SCdg;SCdw;MB;MRN;PRNr;TRN;void;SCsg;SCig;SCiw;RR;rust,78392
6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,cortexlab,KS016,2019-12-05,2,probe00;probe01,3B2,31811232-52ef-456c-9772-5021c00b2bc9;fa539f97-a078-4fc6-9a12-237799466d9c,true,false,94,814,3844396,445,2199.8043637138617,36,26,18,or;VISrl6b;fp;alv;CA1;LGd-co;int;DG-mo;CA3;LGd-sh;TH;ar;ZI;fiber tracts;DG-sg;DG-po;SGN;LP;PoT;root;MGm;PIL;PP;MB;SNr;cpd,alv;CA1;LGd-sh;LGd-co;ar;ZI;fiber tracts;int;VISrl6b;fp;DG-mo;SGN;PoT;MGm;PIL;PP;MB;SNr,44402
16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,cortexlab,KS016,2019-12-08,2,probe00;probe01,3B2,c0c3bcca-6a79-47ef-becb-b1a157a3f2cb;d595ee58-75bb-4df3-96de-d9b4f4d1f6ab,true,false,107,1141,5930895,553,2883.7298316168167,48,14,12,SCop;SCig;SCiw;SCdg;SCdw;PAG;MRN;PRNr;Su3;MB;tspc;mtg;CS;AT,SCop;SCiw;SCdg;SCdw;PAG;MRN;PRNr;SCig;Su3;MB;tspc;CS,59020
15f742e1-1043-45c9-9504-f1e8a53c1744,cortexlab,KS022,2019-12-09,2,probe00;probe01,3B2,3675290c-8134-4598-b924-83edb7940269;82765a73-2a03-42ca-ba98-194247caa62e,true,false,89,925,4119599,826,3542.47002051954,59,26,18,SCsg;SCop;SCig;SCiw;SCdg;SCdw;PRNr;MRN;MB;CA1;DG-mo;DG-po;DG-sg;CA3;HPF;LGd-sh;LGd-co;LGd-ip;TH;MGd;MGv;MGm;ZI;SNr;cpd;alv,SCig;SCiw;SCdg;SCdw;MB;MRN;PRNr;CA1;DG-po;CA3;DG-sg;LGd-sh;LGd-ip;MGv;TH;MGm;ZI;SNr,64301
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,cortexlab,KS023,2019-12-08,2,probe01;probe00,3B2,26af22bb-b295-4a45-8ed3-1700604c0708;f44d2056-644c-4769-a189-7efe67b0269d,true,false,122,1017,5558937,800,3490.755717101465,58,23,15,MOs5;MOs6a;ACAd6a;ACAv6a;ACAv6b;ccb;VL;LSc;LSr;STR;LSv;MS;SUB;HPF;NOT;root;APN;MB;MRN;TH;SPFp;SNc;SNr,MOs5;MOs6a;ACAd6a;ACAv6a;LSc;LSr;LSv;SUB;NOT;APN;MRN;SPFp;MB;SNc;SNr,65474
aad23144-0e52-4eac-80c5-c4ee2decb198,cortexlab,KS023,2019-12-10,2,probe00;probe01,3B2,45e7731f-4a43-45d5-9029-c080150bc596;b749446c-18e3-4987-820a-50649ab0f826,true,false,270,1566,4020695,641,3277.9496458379667,54,32,21,MOs1;MOs2/3;MOs5;ACAd6a;PL6a;PL5;ACAv5;LSr;DP;TTd;ACAv6a;OLF;STR;NDB;VISa2/3;VISa4;VISa5;VISa6a;VISa6b;scwm;alv;CA1;PO;LP;DG-sg;TH;ml;DG-mo;DG-po;ccs;VPM;VPLpc,MOs5;ACAd6a;PL6a;PL5;ACAv5;ACAv6a;TTd;STR;LSr;NDB;VISa2/3;VISa4;VISa5;VISa6a;VISa6b;CA1;DG-sg;DG-po;LP;PO;VPLpc,74718
cc45c568-c3b9-4f74-836e-c87762e898c8,cortexlab,KS023,2019-12-07,2,probe01;probe00,3B2,6a22a5b4-79ec-4b3c-b023-1ec7b4a2b675;aab5be05-5c1c-4c08-9739-1274bc3bcf4f,true,false,221,1624,5623737,715,3248.453435366692,54,26,18,MOs5;ACAd5;LSr;ACAv5;ACAv2/3;MOs2/3;ACAv1;IG;ccg;STR;APN;NOT;TH;DG-mo;CA3;Eth;root;PoT;SPFp;ml;FF;ZI;MB;SNr;cpd;HPF,ACAd5;ACAv5;ACAv2/3;ACAv1;IG;ccg;STR;LSr;APN;TH;Eth;PoT;SPFp;FF;ZI;SNr;cpd;CA3,80279
a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,cortexlab,KS023,2019-12-06,2,probe01;probe00,3B2,adca9242-0725-41d4-8eb1-5655a464431d;e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,true,false,210,1254,4274793,653,3721.087901526419,62,26,19,void;MOs2/3;MOs5;ACAd5;ACAd6a;ACAv5;LSr;ACAv6a;cing;ccb;STR;LSc;MS;LP;PO;VPM;COApm;MEA;VPL;TH;ZI;HY;fiber tracts;int;root;PA,MOs5;ACAd5;ACAd6a;ACAv5;ACAv6a;cing;STR;LSc;LSr;MS;LP;PO;VPM;VPL;TH;ZI;MEA;PA;COApm,66269
8c552ddc-813e-4035-81cc-3971b57efe65,cortexlab,KS042,2020-11-23,2,probe01;probe00,3B2,10ef1dcd-093c-4839-8f38-90a25edefb49;b98f6b89-3de4-4295-be1c-59e465de1e32,true,false,161,1775,5318219,457,3869.7410277090617,64,29,17,void;SCsg;SCzo;SCop;SCig;SCiw;SCdg;SCdw;PAG;Pa4;MRN;VTN;AT;CS;MB;SSp-n4;SSp-n6a;SSp-n5;ccb;SSs6a;PIR;AIp6a;SSs6b;scwm;CP;ec;AIp6b;CLA;ee,PAG;MB;Pa4;MRN;VTN;SSp-n5;SSp-n6a;SSs6a;SSs6b;ccb;CP;ec;CLA;AIp6b;AIp6a;ee;PIR,73845
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,cortexlab,KS042,2020-11-24,2,probe00;probe01,3B2,530f1670-9412-44ac-afdb-935d46bcaad3;97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,true,false,201,1821,12774276,692,5361.600896303591,89,23,13,VISpm5;RSPagl5;RSPagl6a;RSPd6a;RSPv6a;RSPv5;RSPv2/3;RSPv1;void;SCsg;SCop;SCdg;SCig;SCiw;MRN;RN;MB;VISp2/3;VISp4;VISp5;VISp6a;RSPd5;SCzo,RSPagl6a;RSPd6a;RSPv5;SCsg;SCop;SCig;SCiw;SCdg;MRN;RN;VISp5;RSPd5;MB,86380
9468fa93-21ae-4984-955c-e8402e280c83,cortexlab,KS043,2020-12-06,2,probe01;probe00,3B2,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4;f0dfd1c1-d315-4cf8-9130-05d3be2ea0cb,true,false,162,1764,7318021,514,4759.957893585425,79,27,21,MOs2/3;MOs5;ACAd6a;ACAv6a;ACAv5;ccb;LSc;SF;TRS;vhc;root;SFO;V3;PVT;CB;IRN;CENT2;VII;PARN;MY;CENT3;arb;PB;scp;LC;P;MV,MOs5;ACAd6a;ACAv6a;ACAv5;ccb;LSc;SF;TRS;vhc;PVT;PARN;IRN;VII;CENT3;CENT2;arb;scp;PB;P;MV;MY,76249
e5c75b62-6871-4135-b3d0-f6464c2d90c0,cortexlab,KS043,2020-12-07,2,probe01;probe00,3B2,1d547041-230a-4af3-ba6a-7287de2bdec3;aac3b928-e99a-4039-ace1-af45d0130d82,true,false,95,1184,6819485,581,4454.395779155064,74,20,11,ICd;void;MB;CB;CENT3;arb;CENT2;PCG;V4;SSs4;SSs5;AUDd5;AUDd6a;AUDv6a;TEa6a;TEa5;ECT5;PERI5;PERI2/3;ENTl3,ICd;CENT3;CENT2;arb;V4;SSs4;TEa6a;TEa5;ECT5;PERI5;ENTl3,61819
781b35fd-e1f0-4d14-b2bb-95b7263082bb,cortexlab,KS044,2020-12-09,2,probe00;probe01,3B2,3017e4dc-2150-43ad-9b08-b95b48ba8dfa;70da415f-444d-4148-ade7-a1f58a16fcf8,true,false,202,1795,5895757,471,3544.7861,59,34,23,or;VPM;VPL;em;ZI;fiber tracts;void;COApm;int;opt;MEA;PA;VISa2/3;VISa4;VISa5;VISa6a;VISrl6a;VISrl6b;ccs;alv;CA1;DG-mo;DG-sg;DG-po;CA3;LP;MB;PoT;MGm;SGN;bsc;LGd-sh;SPFp;TH,or;VPM;VPL;ZI;fiber tracts;int;opt;MEA;PA;COApm;VISa5;VISa6a;VISrl6b;alv;CA1;DG-sg;CA3;LP;LGd-sh;SGN;MGm;PoT;SPFp,74331
a6fe44a8-07ab-49b8-81f9-e18575aa85cc,cortexlab,KS044,2020-12-07,2,probe01;probe00,3B2,50445b30-f4ef-4405-b014-1d792ddfed88;825ba9b8-ce03-49b7-b1a8-4d85ae2185af,true,false,138,2547,8234825,786,5344.12473633624,89,18,15,void;MB;ICd;CUN;PAG;PRNc;PRNr;MRN;scp;IVn;P;ICe;ll;NLL;SUT;PB;PSV;PC5,MB;PAG;CUN;IVn;MRN;scp;P;PRNr;PRNc;ICe;ll;NLL;PB;SUT;PSV,110335
571d3ffe-54a5-473d-a265-5dc373eb7efc,cortexlab,KS045,2020-12-06,2,probe01;probe00,3B2,437f43e1-9c8f-4be9-ac89-97885b0e03d0;aecd7612-b5c5-4ad2-9e76-e5b783387e47,true,false,171,1949,22295626,404,4083.4120578739185,68,17,14,ICe;ICc;MB;CB;CENT3;MV;CENT2;uf;scp;PB;arb;P;GRN;PCG;MY;V4;mlf,ICe;ICc;MB;CENT3;CENT2;arb;CB;PB;scp;P;MV;V4;MY;GRN,77215
69c9a415-f7fa-4208-887b-1417c1479b48,cortexlab,KS046,2020-12-03,2,probe00;probe01,3B2,1a276285-8b0e-4cc9-9f0a-a3a002978724;72274871-80e5-4fb9-be1a-bb04acebb1de,true,false,207,2664,6230341,637,4971.293057118955,82,23,16,SSp-ul4;SSp-m4;SSp-m5;SSp-m6a;CP;scwm;ccb;PIR;SSp-m6b;ec;EPd;OLF;void;DG-sg;DG-mo;VISl1;VISl4;VISli5;VISli6a;or;ProS;VISl2/3;VISl5,SSp-ul4;SSp-m4;SSp-m5;SSp-m6a;SSp-m6b;scwm;CP;ec;EPd;PIR;void;VISl2/3;VISl4;VISl5;VISli5;ProS,128898
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cortexlab,KS046,2020-12-05,2,probe00;probe01,3B2,41ea689a-7e05-463b-915a-90e63b8c0572;cc9d666c-6fe5-418d-9b37-114428d25454,true,false,162,1521,6529632,656,4937.631266781972,82,27,16,MOp2/3;MOp5;MOp6a;AId6a;AId5;AIv5;AIv2/3;PIR;VISpm2/3;VISpm4;VISpm5;VISpm6a;VISp6b;VISp6a;scwm;fp;dhc;alv;SUB;DG-mo;MRN;root;SCig;HPF;APN;bsc;MB,MOp5;MOp6a;AId6a;AId5;AIv5;AIv2/3;PIR;VISpm5;VISpm6a;scwm;fp;SUB;SCig;MB;APN;MRN,74398
0ac8d013-b91e-4732-bc7b-a1164ff3e445,cortexlab,KS046,2020-12-02,2,probe01;probe00,3B2,63435e73-6a72-4007-b0da-03e6473e6870;8d661567-49f3-4547-997d-a345c0ffe2dd,true,false,94,908,2035381,841,5351.727706425408,89,20,9,TEa2/3;TEa4;TEa5;CA1;ProS;TEa6a;TEa6b;ar;alv;fp;SSp-bfd1;void;SSp-bfd2/3;SSs2/3;SSs4;SSs5;AIp1;AIp2/3;VISC5;AIp5,TEa5;TEa6a;CA1;SSp-bfd2/3;SSs5;VISC5;AIp5;AIp2/3;AIp1,64139
dfbe628d-365b-461c-a07f-8b9911ba83aa,cortexlab,KS046,2020-12-04,2,probe00;probe01,3B2,ad315779-2b39-46c4-8348-b166e796fa7c;df350b09-a420-42bb-9952-17862cbb9f1c,true,false,351,1651,12774486,753,5362.375520798551,89,17,14,MOs5;ACAd5;PL5;TTv;TTd;DP;ILA2/3;ILA5;ILA1;OLF;MOs6a;PL6a;FRP6a;ORBvl6a;AON;ORBvl5;ORBvl2/3,ACAd5;PL5;ILA5;ILA2/3;ILA1;MOs5;MOs6a;PL6a;FRP6a;ORBvl6a;ORBvl5;ORBvl2/3;OLF;AON,83092
7082d8ff-255a-47d7-a839-bf093483ec30,cortexlab,KS051,2021-05-13,2,probe00;probe01,3B2,082187a0-121f-47d5-962a-a9ad467e7124;2122d807-13ab-494e-a1cc-e55cf24d3e9f,true,false,75,559,1939719,405,4333.013278572394,72,23,10,CP;STR;BST;act;HY;PAL;OT;SI;LPO;NDB;MOp1;void;MOp2/3;ccb;VL;AV;MOp5;MOp6a;MOp6b;cing;fi;root;AMd,STR;BST;SI;NDB;MOp1;MOp2/3;MOp5;MOp6a;AV;AMd,34263
0a018f12-ee06-4b11-97aa-bbbff5448e9f,cortexlab,KS051,2021-05-11,1,probe00,3B2,16799c7a-e395-435d-a4c4-a678007e1550,true,false,126,899,4017036,478,4102.62985014054,68,19,15,VISa4;VISa2/3;VISa5;DG-sg;DG-po;VISa6a;or;VISa6b;ccs;CA1;DG-mo;PoT;SPFp;LP;fiber tracts;root;SGN;TH;ml,VISa4;VISa5;VISa6a;VISa6b;CA1;DG-mo;DG-sg;DG-po;fiber tracts;LP;SGN;PoT;SPFp;TH;ml,37663
4503697e-af44-47d9-898d-4924be990240,cortexlab,KS051,2021-05-12,1,probe01,3B2,a8adabd7-7979-4fcf-99e7-d9bd9d27896f,true,false,23,384,759317,415,4648.707142214864,77,5,5,CP;OT;ACB;aco;SI,CP;ACB;aco;SI;OT,20468
ac7d3064-7f09-48a3-88d2-e86a4eb86461,cortexlab,KS052,2021-05-13,2,probe00;probe01,3B2,1df6ebb3-9d16-4c0f-96cc-e1b1596d2006;2c401cbd-b95c-4ebe-8a83-92b55ab49542,true,false,91,755,1863549,691,4960.47780301625,82,17,8,AUDp6a;ec;ENTl6a;PIR;TEa6a;AUDv6a;EPd;ENTl5;void;MOs2/3;AId5;MOs5;ORBl5;AON;ORBl2/3;ORBl1;MOs1,AUDp6a;AUDv6a;PIR;MOs2/3;MOs5;AId5;ORBl1;AON,52947
872ce8ff-9fb3-485c-be00-bc5479e0095b,cortexlab,KS055,2021-05-03,2,probe00;probe01,3B2,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01;625a7bc9-00cf-44f6-a508-3ed89d23ba3a,true,false,326,2287,8187867,443,4054.4910076510055,67,20,14,VISp1;ENTl5;SUB;ENTl6a;VISl4;VISl5;VISl6a;VISli6a;VISpor6a;VISpor6b;or;ec;alv;VISl1;VISli2/3;VISli4;VISli5;VISpor5;ENTm6;ENTm5,VISl5;VISl6a;VISli6a;VISpor6a;VISpor6b;alv;SUB;ENTl6a;ENTl5;VISli4;VISli5;VISpor5;ENTm6;ENTm5,86157
b22f694e-4a34-4142-ab9d-2556c3487086,cortexlab,KS055,2021-05-02,2,probe00;probe01,3B2,8abf098f-d4f6-4957-9c0a-f53685db74cc;8b735d77-b77b-4243-8821-37802bf402fe,true,false,272,2129,5363129,480,3994.8256638089456,66,30,18,VISa1;VISa2/3;VISam2/3;VISa4;VISa5;VISa6a;VISa6b;ccs;or;CA1;DG-mo;DG-sg;DG-po;MRN;APN;MB;bsc;LP;void;VISl1;VISl2/3;VISli2/3;VISli4;VISli5;VISpor5;ENTl5;VISpor6a;ENTl6a;ENTl2;ENTl3,VISa2/3;VISa5;VISa6a;VISa6b;ccs;CA1;DG-mo;DG-sg;DG-po;APN;MRN;VISli5;VISpor5;VISpor6a;ENTl6a;ENTl5;ENTl3;ENTl2,86042
1b715600-0cbc-442c-bd00-5b0ac2865de1,cortexlab,KS084,2022-01-31,2,probe01;probe00,3B2,bbe6ebc1-d32f-42dd-a89c-211226737deb;f639f4f3-ac14-4114-b712-f445463597e4,true,false,131,911,6043762,437,4893.933364236931,81,28,19,VISa1;VISa2/3;VISa4;VISa5;VISa6a;VISa6b;or;CA1;DG-mo;DG-sg;DG-po;LP;MGm;PoT;fiber tracts;alv;V3;PVT;IMD;MD;CM;VPMpc;TH;VM;PH;DMH;HY;VMH,VISa2/3;VISa5;VISa6a;VISa6b;or;CA1;DG-sg;DG-po;LP;PoT;MGm;MD;CM;VPMpc;TH;VM;HY;PH;DMH,46660
