ratio,n_baseline_events,n_detected_events,detection_rate_on_baseline_events,classification_accuracy_on_detected_events,binned_count_accuracy_micro,binned_count_accuracy_macro,matched_spikes_after_binning,baseline_spikes_for_binning,bin_size_seconds,int16_bin,source_float32_bin,int16_meta
0.10,137378,15359,0.11180101617435106,0.22755387720554723,0.507384572830304,0.5287930556567284,69705,137381,0.02,F:\academic\whitened_recon_ratio_0.10_dctwin_600samp_int16.bin,F:\academic\whitened_recon_ratio_0.10_dctwin_600samp.bin,F:\academic\whitened_recon_ratio_0.10_dctwin_600samp_int16_meta.npy
0.20,137378,16266,0.11840323778188648,0.2503996065412517,0.751086394770747,0.7704386400373651,103185,137381,0.02,F:\academic\whitened_recon_ratio_0.20_dctwin_600samp_int16.bin,F:\academic\whitened_recon_ratio_0.20_dctwin_600samp.bin,F:\academic\whitened_recon_ratio_0.20_dctwin_600samp_int16_meta.npy
0.30,137378,16735,0.12181717596703985,0.25007469375560204,0.8092458200187799,0.8115179378456921,111175,137381,0.02,F:\academic\whitened_recon_ratio_0.30_dctwin_600samp_int16.bin,F:\academic\whitened_recon_ratio_0.30_dctwin_600samp.bin,F:\academic\whitened_recon_ratio_0.30_dctwin_600samp_int16_meta.npy
0.50,137378,16934,0.12326573396031387,0.2522144797448919,0.8133147960780602,0.8153190873333844,111734,137381,0.02,F:\academic\whitened_recon_ratio_0.50_dctwin_600samp_int16.bin,F:\academic\whitened_recon_ratio_0.50_dctwin_600samp.bin,F:\academic\whitened_recon_ratio_0.50_dctwin_600samp_int16_meta.npy
0.70,137378,17311,0.1260099870430491,0.2495523077811796,0.8132420058086635,0.8152488977092158,111724,137381,0.02,F:\academic\whitened_recon_ratio_0.70_dctwin_600samp_int16.bin,F:\academic\whitened_recon_ratio_0.70_dctwin_600samp.bin,F:\academic\whitened_recon_ratio_0.70_dctwin_600samp_int16_meta.npy
1.00,137378,17049,0.12410284033833656,0.2515690069798815,0.8132565638625429,0.8151853997864658,111726,137381,0.02,F:\academic\whitened_recon_ratio_1.00_dctwin_600samp_int16.bin,F:\academic\whitened_recon_ratio_1.00_dctwin_600samp.bin,F:\academic\whitened_recon_ratio_1.00_dctwin_600samp_int16_meta.npy
