cluster_id	ContamPct
0	126.0
1	151.6
2	125.8
3	117.5
4	124.2
5	118.3
6	133.7
7	129.6
8	155.4
9	121.7
10	124.0
11	122.2
12	91.0
13	134.9
14	89.6
15	50.3
16	149.4
17	123.9
18	135.8
19	58.0
20	99.4
21	128.6
22	115.9
23	33.7
24	69.6
25	47.6
26	144.9
27	121.5
28	68.9
29	0.0
30	0.0
31	139.5
32	30.4
33	110.3
34	154.5
35	2.7
36	50.6
37	117.0
38	132.2
39	0.0
40	0.0
41	0.0
42	68.2
43	28.2
44	0.0
45	118.9
46	98.5
47	3.2
48	8.7
49	57.5
50	165.9
51	40.5
52	0.0
53	0.0
54	0.0
55	49.5
56	75.9
57	144.6
58	0.0
59	2.2
60	156.9
61	15.8
62	38.4
63	2.9
64	61.0
65	0.0
66	43.5
67	0.0
68	55.5
69	51.6
70	0.0
71	28.8
72	68.3
73	176.8
74	46.2
75	36.0
76	79.2
77	73.2
78	61.6
79	82.2
80	139.0
81	134.4
82	126.7
83	32.7
84	82.6
85	92.2
86	8.7
87	114.1
88	90.9
89	21.4
90	0.0
91	72.7
92	100.4
93	0.0
94	92.8
95	13.0
96	124.5
97	65.8
98	15.8
99	78.7
100	31.4
101	64.7
102	1.8
103	7.0
104	35.7
105	15.3
106	19.0
107	21.4
108	0.0
109	121.2
110	0.0
111	13.2
112	0.5
113	6.8
114	23.9
115	0.0
116	51.9
117	75.7
118	0.0
119	95.2
120	23.2
121	5.1
122	0.0
123	29.1
124	2.1
125	54.5
126	6.6
127	28.0
128	3.5
129	0.0
130	7.5
131	0.0
132	0.6
133	4.8
134	29.7
135	34.5
136	8.1
137	30.5
138	2.1
139	5.5
140	96.0
141	0.0
142	187.8
143	30.8
144	0.0
145	4.2
146	19.8
147	26.3
148	0.0
149	2.1
150	5.4
151	0.0
152	0.0
153	16.5
154	2.4
155	43.5
156	0.0
157	0.0
158	0.0
159	27.2
160	0.0
161	21.9
162	2.5
163	35.7
164	23.8
165	0.0
166	0.0
167	0.0
168	0.0
169	11.8
170	54.3
171	90.9
172	0.0
173	0.0
174	28.5
175	0.0
176	162.1
177	164.1
178	0.0
179	0.0
180	16.6
181	0.0
182	65.0
183	0.0
184	162.6
185	102.2
186	0.0
187	23.8
188	178.0
189	175.1
190	118.0
191	0.0
192	0.0
193	215.9
194	87.0
195	244.4
196	253.7
197	176.5
198	226.5
199	197.5
200	302.5
201	587.0
202	141.4
203	131.9
204	158.9
205	126.6
206	112.8
207	132.3
208	175.5
209	124.7
210	129.5
211	120.5
212	118.1
213	125.9
214	127.4
215	170.7
216	142.8
217	195.4
218	151.6
219	119.4
220	136.9
221	126.3
222	127.5
223	1111.1
224	180.7
225	166.4
226	144.6
