recv_time_ns,seq,send_ts_us,timestamp_mode,latency_ms,payload_bytes,frame_bytes,arrival_interval_ms
1786376024631066700,62413,1786376019492180,epoch_us,5138.8867,1024,1038,
1786376024633565400,62414,1786376019493736,epoch_us,5139.8294,1024,1038,2.4987
1786376024634354000,62415,1786376019496182,epoch_us,5138.172,1024,1038,0.7886
1786376024635102300,62416,1786376019497729,epoch_us,5137.3733,1024,1038,0.7483
1786376024635802700,62417,1786376019500195,epoch_us,5135.6077,1024,1038,0.7004
1786376024636490100,62418,1786376019501900,epoch_us,5134.5901,1024,1038,0.6874
1786376024637241500,62419,1786376019504182,epoch_us,5133.0595,1024,1038,0.7514
1786376024638067500,62420,1786376019505760,epoch_us,5132.3075,1024,1038,0.826
1786376024638769400,62421,1786376019508179,epoch_us,5130.5904,1024,1038,0.7019
1786376024639422200,62422,1786376019509890,epoch_us,5129.5322,1024,1038,0.6528
1786376024640089200,62423,1786376019512179,epoch_us,5127.9102,1024,1038,0.667
1786376024640709200,62424,1786376019513761,epoch_us,5126.9482,1024,1038,0.62
1786376024641341900,62425,1786376019516178,epoch_us,5125.1639,1024,1038,0.6327
1786376024642017200,62426,1786376019517835,epoch_us,5124.1822,1024,1038,0.6753
1786376024642635500,62427,1786376019520172,epoch_us,5122.4635,1024,1038,0.6183
1786376024643242000,62428,1786376019522179,epoch_us,5121.063,1024,1038,0.6065
1786376024643892900,62429,1786376019523708,epoch_us,5120.1849,1024,1038,0.6509
1786376024644819700,62430,1786376019526187,epoch_us,5118.6327,1024,1038,0.9268
1786376024645503500,62431,1786376019527586,epoch_us,5117.9175,1024,1038,0.6838
1786376024646154100,62432,1786376019530185,epoch_us,5115.9691,1024,1038,0.6506
1786376024646813900,62433,1786376019531694,epoch_us,5115.1199,1024,1038,0.6598
1786376024647426600,62434,1786376019534183,epoch_us,5113.2436,1024,1038,0.6127
1786376024648032100,62435,1786376019535729,epoch_us,5112.3031,1024,1038,0.6055
1786376024648649400,62436,1786376019538183,epoch_us,5110.4664,1024,1038,0.6173
1786376024649253700,62437,1786376019539721,epoch_us,5109.5327,1024,1038,0.6043
1786376024649896500,62438,1786376019542183,epoch_us,5107.7135,1024,1038,0.6428
1786376024650522400,62439,1786376019543721,epoch_us,5106.8014,1024,1038,0.6259
1786376024651316500,62440,1786376019546183,epoch_us,5105.1335,1024,1038,0.7941
1786376024652528200,62441,1786376019547724,epoch_us,5104.8042,1024,1038,1.2117
1786376024653222900,62442,1786376019550181,epoch_us,5103.0419,1024,1038,0.6947
1786376024653868700,62443,1786376019551717,epoch_us,5102.1517,1024,1038,0.6458
1786376024654527000,62444,1786376019553503,epoch_us,5101.024,1024,1038,0.6583
1786376024655166000,62445,1786376019556179,epoch_us,5098.987,1024,1038,0.639
1786376024655782400,62446,1786376019557713,epoch_us,5098.0694,1024,1038,0.6164
1786376024656414900,62447,1786376019560191,epoch_us,5096.2239,1024,1038,0.6325
1786376024657058500,62448,1786376019561966,epoch_us,5095.0925,1024,1038,0.6436
1786376024657715800,62449,1786376019564183,epoch_us,5093.5328,1024,1038,0.6573
1786376024658798400,62450,1786376019565699,epoch_us,5093.0994,1024,1038,1.0826
1786376024659602500,62451,1786376019568178,epoch_us,5091.4245,1024,1038,0.8041
1786376024660227300,62452,1786376019569820,epoch_us,5090.4073,1024,1038,0.6248
1786376024660885000,62453,1786376019572178,epoch_us,5088.707,1024,1038,0.6577
1786376024661492100,62454,1786376019573662,epoch_us,5087.8301,1024,1038,0.6071
1786376024662133100,62455,1786376019576178,epoch_us,5085.9551,1024,1038,0.641
1786376024662773400,62456,1786376019577705,epoch_us,5085.0684,1024,1038,0.6403
1786376024663414800,62457,1786376019580195,epoch_us,5083.2198,1024,1038,0.6414
1786376024664041400,62458,1786376019581876,epoch_us,5082.1654,1024,1038,0.6266
1786376024664675400,62459,1786376019583613,epoch_us,5081.0624,1024,1038,0.634
1786376024665584500,62460,1786376019586186,epoch_us,5079.3985,1024,1038,0.9091
1786376024666382700,62461,1786376019587751,epoch_us,5078.6317,1024,1038,0.7982
1786376024667005300,62462,1786376019590182,epoch_us,5076.8233,1024,1038,0.6226
1786376024667656700,62463,1786376019591755,epoch_us,5075.9017,1024,1038,0.6514
1786376024668271900,62464,1786376019594182,epoch_us,5074.0899,1024,1038,0.6152
1786376024668927100,62465,1786376019595764,epoch_us,5073.1631,1024,1038,0.6552
1786376024669546300,62466,1786376019597497,epoch_us,5072.0493,1024,1038,0.6192
1786376024670193700,62467,1786376019600178,epoch_us,5070.0157,1024,1038,0.6474
1786376024670833500,62468,1786376019601735,epoch_us,5069.0985,1024,1038,0.6398
1786376024671454900,62469,1786376019604197,epoch_us,5067.2579,1024,1038,0.6214
1786376024672097900,62470,1786376019605671,epoch_us,5066.4269,1024,1038,0.643
1786376024673724500,62471,1786376019608191,epoch_us,5065.5335,1024,1038,1.6266
1786376024674445400,62472,1786376019609553,epoch_us,5064.8924,1024,1038,0.7209
1786376024675129000,62473,1786376019612182,epoch_us,5062.947,1024,1038,0.6836
1786376024675770200,62474,1786376019613731,epoch_us,5062.0392,1024,1038,0.6412
1786376024676429400,62475,1786376019616184,epoch_us,5060.2454,1024,1038,0.6592
1786376024677091200,62476,1786376019617552,epoch_us,5059.5392,1024,1038,0.6618
1786376024677722300,62477,1786376019620180,epoch_us,5057.5423,1024,1038,0.6311
1786376024678387900,62478,1786376019621582,epoch_us,5056.8059,1024,1038,0.6656
1786376024679335800,62479,1786376019624189,epoch_us,5055.1468,1024,1038,0.9479
1786376024680070800,62480,1786376019625567,epoch_us,5054.5038,1024,1038,0.735
1786376024680751300,62481,1786376019628192,epoch_us,5052.5593,1024,1038,0.6805
1786376024681402900,62482,1786376019629593,epoch_us,5051.8099,1024,1038,0.6516
1786376024682041100,62483,1786376019631595,epoch_us,5050.4461,1024,1038,0.6382
1786376024682871800,62484,1786376019634185,epoch_us,5048.6868,1024,1038,0.8307
1786376024683503800,62485,1786376019635713,epoch_us,5047.7908,1024,1038,0.632
1786376024684165500,62486,1786376019638183,epoch_us,5045.9825,1024,1038,0.6617
1786376024684853300,62487,1786376019639721,epoch_us,5045.1323,1024,1038,0.6878
1786376024685573400,62488,1786376019642181,epoch_us,5043.3924,1024,1038,0.7201
1786376024686502600,62489,1786376019643708,epoch_us,5042.7946,1024,1038,0.9292
1786376024687424800,62490,1786376019646185,epoch_us,5041.2398,1024,1038,0.9222
1786376024688157200,62491,1786376019647709,epoch_us,5040.4482,1024,1038,0.7324
1786376024688852600,62492,1786376019649528,epoch_us,5039.3246,1024,1038,0.6954
1786376024689543500,62493,1786376019652181,epoch_us,5037.3625,1024,1038,0.6909
1786376024690202300,62494,1786376019653891,epoch_us,5036.3113,1024,1038,0.6588
1786376024690822000,62495,1786376019656180,epoch_us,5034.642,1024,1038,0.6197
1786376024691465600,62496,1786376019657901,epoch_us,5033.5646,1024,1038,0.6436
1786376024692090200,62497,1786376019659853,epoch_us,5032.2372,1024,1038,0.6246
1786376024692910200,62498,1786376019662188,epoch_us,5030.7222,1024,1038,0.82
1786376024693619800,62499,1786376019663791,epoch_us,5029.8288,1024,1038,0.7096
1786376024694397600,62500,1786376019666224,epoch_us,5028.1736,1024,1038,0.7778
1786376024695050700,62501,1786376019668005,epoch_us,5027.0457,1024,1038,0.6531
1786376024695708800,62502,1786376019670189,epoch_us,5025.5198,1024,1038,0.6581
1786376024696382200,62503,1786376019671522,epoch_us,5024.8602,1024,1038,0.6734
1786376024697027700,62504,1786376019674314,epoch_us,5022.7137,1024,1038,0.6455
1786376024697649600,62505,1786376019675915,epoch_us,5021.7346,1024,1038,0.6219
1786376024698297800,62506,1786376019677605,epoch_us,5020.6928,1024,1038,0.6482
1786376024698955300,62507,1786376019680192,epoch_us,5018.7633,1024,1038,0.6575
1786376024699694200,62508,1786376019681785,epoch_us,5017.9092,1024,1038,0.7389
1786376024700455800,62509,1786376019684190,epoch_us,5016.2658,1024,1038,0.7616
1786376024701265400,62510,1786376019685802,epoch_us,5015.4634,1024,1038,0.8096
1786376024701903000,62511,1786376019688180,epoch_us,5013.723,1024,1038,0.6376
1786376024702586600,62512,1786376019689859,epoch_us,5012.7276,1024,1038,0.6836
1786376024703211400,62513,1786376019692179,epoch_us,5011.0324,1024,1038,0.6248
1786376024703848000,62514,1786376019693671,epoch_us,5010.177,1024,1038,0.6366
1786376024704625000,62515,1786376019696181,epoch_us,5008.444,1024,1038,0.777
1786376024705279700,62516,1786376019697687,epoch_us,5007.5927,1024,1038,0.6547
1786376024705934200,62517,1786376019700178,epoch_us,5005.7562,1024,1038,0.6545
1786376024706759200,62518,1786376019701686,epoch_us,5005.0732,1024,1038,0.825
1786376024707422700,62519,1786376019704178,epoch_us,5003.2447,1024,1038,0.6635
1786376024708297800,62520,1786376019705685,epoch_us,5002.6128,1024,1038,0.8751
1786376024709030100,62521,1786376019708191,epoch_us,5000.8391,1024,1038,0.7323
1786376024709661100,62522,1786376019709657,epoch_us,5000.0041,1024,1038,0.631
1786376024710308900,62523,1786376019712187,epoch_us,4998.1219,1024,1038,0.6478
1786376024710916300,62524,1786376019713623,epoch_us,4997.2933,1024,1038,0.6074
1786376024711551900,62525,1786376019716185,epoch_us,4995.3669,1024,1038,0.6356
1786376024712202300,62526,1786376019717553,epoch_us,4994.6493,1024,1038,0.6504
1786376024712811000,62527,1786376019720189,epoch_us,4992.622,1024,1038,0.6087
1786376024713599000,62528,1786376019721665,epoch_us,4991.934,1024,1038,0.788
1786376024714646800,62529,1786376019724185,epoch_us,4990.4618,1024,1038,1.0478
1786376024715307700,62530,1786376019725554,epoch_us,4989.7537,1024,1038,0.6609
1786376024716001600,62531,1786376019728188,epoch_us,4987.8136,1024,1038,0.6939
1786376024716656100,62532,1786376019729738,epoch_us,4986.9181,1024,1038,0.6545
1786376024717301000,62533,1786376019732175,epoch_us,4985.126,1024,1038,0.6449
1786376024717955800,62534,1786376019733738,epoch_us,4984.2178,1024,1038,0.6548
1786376024718611200,62535,1786376019736178,epoch_us,4982.4332,1024,1038,0.6554
