recv_time_ns,seq,send_ts_us,payload_bytes,frame_bytes,arrival_interval_ms
1785504958199580700,0,5903667,4096,4110,
1785504958428867500,1,5954532,4096,4110,229.2868
1785504958436887500,2,6004519,4096,4110,8.02
1785504958441689200,3,6054519,4096,4110,4.8017
1785504958444737600,4,6104519,4096,4110,3.0484
1785504958447901900,5,6154530,4096,4110,3.1643
1785504958454434300,6,6204519,4096,4110,6.5324
1785504958457135900,7,6254519,4096,4110,2.7016
1785504958459680900,8,6304519,4096,4110,2.545
1785504958462446100,9,6354519,4096,4110,2.7652
1785504958465016700,10,6404519,4096,4110,2.5706
1785504958467875300,11,6454519,4096,4110,2.8586
1785504958470427900,12,6504519,4096,4110,2.5526
1785504958472960000,13,6554519,4096,4110,2.5321
1785504958475838500,14,6604519,4096,4110,2.8785
1785504958478666400,15,6654519,4096,4110,2.8279
1785504958481217600,16,6704519,4096,4110,2.5512
1785504958483679400,17,6754519,4096,4110,2.4618
1785504958486207200,18,6804519,4096,4110,2.5278
1785504958488879500,19,6854519,4096,4110,2.6723
1785504958491467900,20,6904519,4096,4110,2.5884
1785504958493995500,21,6954519,4096,4110,2.5276
1785504958496563200,22,7004519,4096,4110,2.5677
1785504958499061300,23,7054519,4096,4110,2.4981
1785504958501616400,24,7104519,4096,4110,2.5551
1785504958504499400,25,7154519,4096,4110,2.883
1785504958507093400,26,7204602,4096,4110,2.594
1785504958509879200,27,7254519,4096,4110,2.7858
1785504958512507700,28,7304519,4096,4110,2.6285
1785504958516006800,29,7354519,4096,4110,3.4991
1785504958518847100,30,7404519,4096,4110,2.8403
1785504958521671600,31,7454519,4096,4110,2.8245
1785504966923108600,42,8534877,4096,4110,8401.437
1785504966925870000,43,8541653,4096,4110,2.7614
1785504966928425700,44,8545956,4096,4110,2.5557
1785504966931140700,45,8550927,4096,4110,2.715
1785504966936685700,46,8555540,4096,4110,5.545
1785504966939470600,47,8562439,4096,4110,2.7849
1785504966942068100,48,8565793,4096,4110,2.5975
1785504966944744500,49,8613829,4096,4110,2.6764
1785504966947348900,50,8619517,4096,4110,2.6044
1785504966949858300,51,8623691,4096,4110,2.5094
1785504966952484600,52,8627934,4096,4110,2.6263
1785504966955009200,53,8634725,4096,4110,2.5246
1785504966957540900,54,8637891,4096,4110,2.5317
1785504966960157800,55,8654519,4096,4110,2.6169
1785504966962655600,56,8704519,4096,4110,2.4978
1785504967333901100,57,8754519,4096,4110,371.2455
1785504967338508200,58,8804519,4096,4110,4.6071
1785504967342726600,59,8854519,4096,4110,4.2184
1785504967345443900,60,8904519,4096,4110,2.7173
1785504967348869200,61,8954519,4096,4110,3.4253
1785504967351525500,62,9004519,4096,4110,2.6563
1785504967354571100,63,9054519,4096,4110,3.0456
1785504967357285100,64,9104519,4096,4110,2.714
1785504967359987200,65,9154519,4096,4110,2.7021
1785504967362783400,66,9204519,4096,4110,2.7962
1785504967365467800,67,9254519,4096,4110,2.6844
1785504967368472000,68,9304519,4096,4110,3.0042
1785504967371500400,69,9354519,4096,4110,3.0284
1785504967374212800,70,9404519,4096,4110,2.7124
1785504967376985600,71,9454519,4096,4110,2.7728
1785504967379673800,72,9504519,4096,4110,2.6882
