window_end_ns,elapsed_s,fps,rate_kib_s,missing_frames,loss_rate,crc_errors,old_frames,avg_interval_ms,interval_jitter_ms,bandwidth_jitter_kib_s
1785504966962668100,8.771858699999939,5.35804344408789,21.505428276563702,10,0.17543859649122806,3090,0,190.50162826086955,1237.9892942386086,0.0
1785504975849615300,8.886948800000027,3.825835026752927,15.355646445268096,71,0.6761904761904762,2865,0,261.3796911764706,1430.7081419971648,4.348552435726948
1785504989241065400,13.391452400000048,2.837630965256604,11.389319596879533,80,0.6779661016949152,4515,0,352.4068394736843,2119.1102412938053,5.097176016514158
1785504991394829900,2.1537645999999313,15.786312023143608,63.36107657726585,128,0.7901234567901234,615,0,63.34582941176471,303.8503896734702,24.00237377239747
1785505001837183500,10.442353600000047,3.3517348043069375,13.452763716505384,18,0.33962264150943394,3510,0,298.3539342857143,1699.450996434944,21.768016933056963
1785505012283922500,10.446737699999971,3.063157218927789,12.294507978313684,0,0.0,3496,0,11.6863625,37.0048100961409,20.15035003520956
1785505016031349500,3.747428099999979,4.269594925650498,17.136753070726122,98,0.8596491228070176,1229,0,863.76275,3441.6528654262734,18.522891918084696
1785505028836759200,12.805408900000089,2.4208520198054577,9.716505665430109,99,0.7615384615384615,4305,0,413.0705322580646,2253.2035563218633,17.69638721296949
1785505040519905300,11.683147200000008,1.2839006256807233,5.153155831589622,34,0.6938775510204082,3885,0,778.8911066666666,2934.7930948122607,17.328497447532307
1785505054331528900,13.811623499999996,2.244486319801579,9.008631615609854,123,0.7987012987012987,4305,0,445.5362419354839,2420.9611984221524,16.629365330511845
1785505065147285900,10.815756399999941,1.386865554775261,5.5664232716077375,112,0.8818897637795275,3885,0,721.0506733333334,2738.6513478782394,16.20404182269021
1785505077569338100,12.422052000000008,2.495561924873602,10.01636671018604,132,0.8098159509202454,4305,0,400.7113387096774,2188.942087062837,15.570736267534473
1785505089050768300,11.481430300000056,1.3064574367533222,5.2436914697814005,103,0.8728813559322034,3885,0,765.4274066666668,2908.2219020611187,15.212348985022478
1785505101861052000,12.8102836999999,2.4199307935701877,9.712808165599094,117,0.7905405405405406,4305,0,413.23461935483874,2246.1938902269435,14.692263399165512
1785505107342494800,1.0261364000000412,19.490586241750314,78.22881782577518,0,0.0,0,0,53.36871578947368,29.547706055937237,0.0
1785505111433631800,1.0056824000000688,19.886994144472084,79.81986907595729,0,0.0,0,0,50.014794736842106,30.362586500265124,0.0
1785505112463855600,1.030228999999963,19.41315959849773,77.91805268537664,0,0.0,0,0,53.627840000000006,55.41182249475192,1.3447872663513005
1785505113480913800,1.017054900000062,20.647852933011503,82.87370659636453,0,0.0,0,0,46.386833333333335,39.760470658247165,2.5000444952712955
1785505114512295000,1.0313834999999472,19.391429085302434,77.83083353573537,0,0.0,0,0,53.71431,47.75276326018268,2.3610691987594525
1785505115531542900,1.0192424000000528,20.603538471318412,82.69584288781121,0,0.0,0,0,46.661609523809524,42.23872335241567,2.4667207910049567
1785505116554582300,1.0230436999999029,19.549507024970584,78.46530651623935,0,0.0,0,0,49.931644999999996,50.24271903667629,2.320650346488642
1785505117580989200,1.026402800000028,20.459803889856328,82.11893944073194,0,0.0,0,0,50.081695238095236,59.48461369990123,2.273737702336526
1785505118603892000,1.0229036000000633,19.552184585134672,78.47605336416358,0,0.0,0,0,49.86734,46.74875275287989,2.19612206077909
1785505119636320400,1.0324325999999928,20.3403108348188,81.63933352647,0,0.0,0,0,52.21092857142857,53.52123663652721,2.1236076212088677
1785505120656011800,1.0196910999999318,19.613783036844527,78.72328933733498,0,0.0,0,0,50.984320000000004,48.7244692865872,2.0561966547212918
1785505121684605800,1.028593399999977,20.416230553297805,81.94405036528708,0,0.0,0,0,48.980404761904765,44.88533198090971,2.0320371158632913
1785505122696762100,1.012153900000044,19.75984087004865,79.30951755458979,0,0.0,0,0,47.782555,39.73244266838233,1.9555199457478272
1785505123721519600,1.0247589000000517,19.516785850797678,78.33397445974458,0,0.0,0,0,50.08376,52.13664190244303,1.9389222986343273
1785505124753093700,1.0315755999999965,20.357208914208588,81.7071568724583,0,0.0,0,0,52.912557142857146,56.62395145767003,1.9171912593844305
1785505125769736000,1.0166388000000097,19.67267037221067,78.95964377908774,0,0.0,0,0,46.775845,46.14679264838599,1.8721095944958939
1785505126793536300,1.0237993999999162,20.511830735593044,82.32775812821036,0,0.0,0,0,50.04143333333334,51.25387331343197,1.895826824425668
1785505127817225100,1.0236902000000327,19.537160754297894,78.41575263687923,0,0.0,0,0,49.95994,57.76772173767521,1.8857488172563486
1785505128852555700,1.035333000000037,20.283329131785862,81.41062766761708,0,0.0,0,0,53.04162857142857,51.96263194096449,1.8556698258278879
1785505129874514500,1.0219597999999905,19.570241412627176,78.54852754482197,0,0.0,0,0,51.097565,51.43734063782719,1.8411211363568916
1785505130889657400,1.0151393999999527,20.686814047411595,83.03008372545084,0,0.0,0,0,46.08480952380952,40.35419728651413,1.90958043608236
1785505131911791600,1.022060500000066,19.568313226074885,78.54078843668728,0,0.0,0,0,49.990905,59.147877923285364,1.897270425939778
1785505132937678700,1.0259588000000122,20.468658195631004,82.1544777187924,0,0.0,0,0,50.027319047619045,58.237049964242,1.9003646660643554
1785505133961407400,1.0237306999999873,19.536387841060396,78.41265041675608,0,0.0,0,0,49.9261,56.073485569450455,1.8952973281614374
1785505134986103500,1.0246971999999914,20.493859063926568,82.25562573509589,0,0.0,0,0,49.94509047619048,50.06118376445871,1.902403012446617
1785505136014681200,1.0285734999999931,19.444405285572817,78.04346262080496,0,0.0,0,0,50.32454,53.012709679029356,1.9137513943319262
1785505137033828100,1.0191433999999617,20.605539907338642,82.70387599527521,0,0.0,0,0,49.83547619047619,58.122482061874344,1.940410467756853
1785505138071387700,1.0375697000000628,19.275813470650494,77.36679039489601,0,0.0,0,0,53.915705,57.81914260862305,1.9823147781103563
