recv_time_ns,seq,send_ts_us,timestamp_mode,latency_ms,payload_bytes,frame_bytes,arrival_interval_ms
1785553582062317900,704718,1785553578934026,epoch_us,3128.2919,4096,4110,
1785553582072468800,704719,1785553578984857,epoch_us,3087.6118,4096,4110,10.1509
1785553582086262900,704720,1785553579034861,epoch_us,3051.4019,4096,4110,13.7941
1785553582095660900,704721,1785553579084857,epoch_us,3010.8039,4096,4110,9.398
1785553582107258600,704722,1785553579134860,epoch_us,2972.3986,4096,4110,11.5977
1785553582118991700,704723,1785553579184855,epoch_us,2934.1367,4096,4110,11.7331
1785553582130205600,704724,1785553579234870,epoch_us,2895.3356,4096,4110,11.2139
1785553582140550900,704725,1785553579284856,epoch_us,2855.6949,4096,4110,10.3453
1785553582150693000,704726,1785553579334861,epoch_us,2815.832,4096,4110,10.1421
1785553582160824300,704727,1785553579384856,epoch_us,2775.9683,4096,4110,10.1313
1785553582170246200,704728,1785553579434863,epoch_us,2735.3832,4096,4110,9.4219
1785553582180280500,704729,1785553579484857,epoch_us,2695.4235,4096,4110,10.0343
1785553582188853700,704730,1785553579534871,epoch_us,2653.9827,4096,4110,8.5732
1785553582198978800,704731,1785553579584852,epoch_us,2614.1268,4096,4110,10.1251
1785553582208842100,704732,1785553579634865,epoch_us,2573.9771,4096,4110,9.8633
1785553583447568100,704733,1785553579684855,epoch_us,3762.7131,4096,4110,1238.726
1785553583461949000,704734,1785553579734861,epoch_us,3727.088,4096,4110,14.3809
1785553583475261100,704735,1785553579784856,epoch_us,3690.4051,4096,4110,13.3121
1785553583485163400,704736,1785553579834859,epoch_us,3650.3044,4096,4110,9.9023
1785553583495628300,704737,1785553579884857,epoch_us,3610.7713,4096,4110,10.4649
1785553583505437700,704738,1785553579934865,epoch_us,3570.5727,4096,4110,9.8094
1785553583515703900,704739,1785553579984861,epoch_us,3530.8429,4096,4110,10.2662
1785553583525828000,704740,1785553580034860,epoch_us,3490.968,4096,4110,10.1241
1785553583535263500,704741,1785553580084859,epoch_us,3450.4045,4096,4110,9.4355
1785553583544737400,704742,1785553580134858,epoch_us,3409.8794,4096,4110,9.4739
1785553583554504800,704743,1785553580184949,epoch_us,3369.5558,4096,4110,9.7674
1785553583562608400,704744,1785553580234860,epoch_us,3327.7484,4096,4110,8.1036
1785553583570966200,704745,1785553580284856,epoch_us,3286.1102,4096,4110,8.3578
1785553583579566700,704746,1785553580335072,epoch_us,3244.4947,4096,4110,8.6005
1785553583588966300,704747,1785553580384865,epoch_us,3204.1013,4096,4110,9.3996
1785553583597582100,704748,1785553580434854,epoch_us,3162.7281,4096,4110,8.6158
1785553584885434300,704749,1785553580484859,epoch_us,4400.5753,4096,4110,1287.8522
1785553584907063700,704750,1785553580534859,epoch_us,4372.2047,4096,4110,21.6294
1785553584923398700,704751,1785553580584858,epoch_us,4338.5407,4096,4110,16.335
