recv_time_ns,seq,send_ts_us,payload_bytes,frame_bytes,arrival_interval_ms
1785338176065392800,251944,22906997039,4096,4110,
1785338176136525600,251945,22907047118,4096,4110,71.1328
1785338176239705700,251946,22907097118,4096,4110,103.1801
1785338176245427500,251947,22907147118,4096,4110,5.7218
1785338176263993000,251948,22907197118,4096,4110,18.5655
1785338176345666100,251949,22907247118,4096,4110,81.6731
1785338176443637600,251950,22907297118,4096,4110,97.9715
1785338176451125200,251951,22907347118,4096,4110,7.4876
1785338176464073600,251952,22907397118,4096,4110,12.9484
1785338176546761000,251953,22907447118,4096,4110,82.6874
1785338176566858700,251954,22907497620,4096,4110,20.0977
1785338176642756000,251955,22907547118,4096,4110,75.8973
1785338176746203200,251956,22907597118,4096,4110,103.4472
1785338176752214000,251957,22907647118,4096,4110,6.0108
1785338176765291100,251958,22907697118,4096,4110,13.0771
1785338176844869800,251959,22907747118,4096,4110,79.5787
1785338176866397800,251960,22907797118,4096,4110,21.528
1785338176947196800,251961,22907847118,4096,4110,80.799
1785338177051024800,251962,22907897118,4096,4110,103.828
1785338177075313600,251963,22907947118,4096,4110,24.2888
1785338177233986600,251964,22908015507,4096,4110,158.673
1785338177245724600,251965,22908047118,4096,4110,11.738
1785338177255057200,251966,22908097118,4096,4110,9.3326
1785338177266617900,251967,22908147118,4096,4110,11.5607
1785338177277732100,251968,22908197118,4096,4110,11.1142
1785338177357669900,251969,22908247118,4096,4110,79.9378
1785338177407675500,251970,22908297118,4096,4110,50.0056
1785338177462007600,251971,22908347118,4096,4110,54.3321
1785338177561126600,251972,22908397118,4096,4110,99.119
1785338177572545400,251973,22908447253,4096,4110,11.4188
1785338177582777200,251974,22908497127,4096,4110,10.2318
1785338177664797500,251975,22908547118,4096,4110,82.0203
1785338177676755300,251976,22908597119,4096,4110,11.9578
1785338177763501400,251977,22908647118,4096,4110,86.7461
1785338177809593900,251978,22908697118,4096,4110,46.0925
1785338177865307900,251979,22908747118,4096,4110,55.714
1785338177874932000,251980,22908797118,4096,4110,9.6241
1785338177921512000,251981,22908847118,4096,4110,46.58
1785338178012768500,251982,22908897118,4096,4110,91.2565
1785338178024599400,251983,22908947145,4096,4110,11.8309
1785338178071532100,251984,22908997118,4096,4110,46.9327
1785338178252112500,251985,22909047118,4096,4110,180.5804
1785338178272815200,251986,22909097118,4096,4110,20.7027
1785338178288183500,251987,22909147118,4096,4110,15.3683
1785338178299828600,251988,22909197118,4096,4110,11.6451
1785338178376785200,251989,22909247118,4096,4110,76.9566
1785338178387234000,251990,22909297118,4096,4110,10.4488
1785338178416658800,251991,22909347118,4096,4110,29.4248
1785338178480281400,251992,22909397118,4096,4110,63.6226
1785338178586310200,251993,22909447118,4096,4110,106.0288
1785338178597099300,251994,22909497118,4096,4110,10.7891
1785338178619884900,251995,22909547118,4096,4110,22.7856
1785338178688690600,251996,22909597118,4096,4110,68.8057
1785338178787440900,251997,22909647118,4096,4110,98.7503
1785338178798781000,251998,22909697118,4096,4110,11.3401
1785338178819371800,251999,22909747118,4096,4110,20.5908
1785338178892722600,252000,22909797118,4096,4110,73.3508
1785338178994536300,252001,22909847118,4096,4110,101.8137
1785338179005709000,252002,22909897118,4096,4110,11.1727
1785338179027258000,252003,22909947118,4096,4110,21.549
1785338179097275700,252004,22909997118,4096,4110,70.0177
1785338179299112300,252005,22910047118,4096,4110,201.8366
1785338179314255000,252006,22910097118,4096,4110,15.1427
1785338179327347100,252007,22910147118,4096,4110,13.0921
1785338179336834400,252008,22910197118,4096,4110,9.4873
1785338179404000700,252009,22910247118,4096,4110,67.1663
1785338179414432200,252010,22910297118,4096,4110,10.4315
1785338179423806800,252011,22910347118,4096,4110,9.3746
1785338179509942700,252012,22910397118,4096,4110,86.1359
1785338179607264200,252013,22910447118,4096,4110,97.3215
1785338179614947400,252014,22910497118,4096,4110,7.6832
1785338179625422200,252015,22910547233,4096,4110,10.4748
1785338179709498300,252016,22910597118,4096,4110,84.0761
1785338179764710400,252017,22910647118,4096,4110,55.2121
1785338179811202600,252018,22910697118,4096,4110,46.4922
1785338179856644000,252019,22910747119,4096,4110,45.4414
1785338179915508400,252020,22910797118,4096,4110,58.8644
1785338179929985600,252021,22910847118,4096,4110,14.4772
1785338180016113700,252022,22910897118,4096,4110,86.1281
1785338180028098600,252023,22910947118,4096,4110,11.9849
1785338180067590100,252024,22910997118,4096,4110,39.4915
1785338180260435400,252025,22911047118,4096,4110,192.8453
1785338180288626400,252026,22911097118,4096,4110,28.191
1785338180320488600,252027,22911147118,4096,4110,31.8622
1785338180336600700,252028,22911197118,4096,4110,16.1121
1785338180349635700,252029,22911247118,4096,4110,13.035
1785338180365693300,252030,22911297118,4096,4110,16.0576
1785338180426673900,252031,22911347118,4096,4110,60.9806
1785338180532231900,252032,22911397118,4096,4110,105.558
1785338180564904800,252033,22911447118,4096,4110,32.6729
1785338180577355700,252034,22911497118,4096,4110,12.4509
1785338180629577600,252035,22911547118,4096,4110,52.2219
1785338180736008400,252036,22911597118,4096,4110,106.4308
1785338180748800100,252037,22911647118,4096,4110,12.7917
1785338180766420000,252038,22911697118,4096,4110,17.6199
1785338180838676600,252039,22911747118,4096,4110,72.2566
1785338180942700500,252040,22911797118,4096,4110,104.0239
1785338180952696400,252041,22911847118,4096,4110,9.9959
1785338180971082100,252042,22911897118,4096,4110,18.3857
1785338181046175400,252043,22911947118,4096,4110,75.0933
1785338181146681800,252044,22911997118,4096,4110,100.5064
1785338181306234700,252045,22912047118,4096,4110,159.5529
1785338181319050100,252046,22912097118,4096,4110,12.8154
1785338181330817700,252047,22912147118,4096,4110,11.7676
1785338181347472500,252048,22912197118,4096,4110,16.6548
1785338181358873900,252049,22912247118,4096,4110,11.4014
1785338181375604300,252050,22912297118,4096,4110,16.7304
1785338181452139800,252051,22912347118,4096,4110,76.5355
1785338181556203400,252052,22912397118,4096,4110,104.0636
1785338181567043700,252053,22912447118,4096,4110,10.8403
