window_end_ns,elapsed_s,fps,rate_kib_s,missing_frames,loss_rate,crc_errors,old_frames,avg_interval_ms,interval_jitter_ms,bandwidth_jitter_kib_s,latency_count,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1786376025587039200,1.0002636000026541,585.8455711059016,593.8551785233651,0,0.0,0,0,1.6330962393162394,3.8538774896404098,0.0,586,4959.132256825938,4933.6414,5102.81935,5133.28909
1786376026596013400,1.008973199997854,488.61555490378595,495.2958456934861,0,0.0,0,0,2.046362677484787,11.559875677761914,69.69197259322937,493,4973.091799391481,4937.8548,5133.99846,5159.264940000001
1786376027621826300,1.0258171999994374,499.1142671426067,505.938095013697,0,0.0,0,0,2.0035662109375,10.08110072536923,54.09345790899047,512,4968.274954882812,4931.245150000001,5129.81735,5156.077937
1786376028643355400,1.0215291000022262,501.20941243757443,508.06188487324437,0,0.0,0,0,1.9951890625,8.962197519140686,45.72069608535507,512,4959.635855859375,4929.26415,5104.101105,5131.390447
1786376029668565400,1.0252088999986881,498.4350018817178,505.24954292306944,0,0.0,0,0,2.005845792563601,9.109031098208757,40.646649755084155,511,4957.829213111546,4935.8207,5053.97235,5080.294
1786376030693060400,1.0244960000018182,500.73401945843574,507.57999238071903,0,0.0,0,0,1.9974440545808965,6.945719183521361,36.80836398249913,513,4945.348910721248,4925.6875,5049.605680000001,5076.263851999999
1786376031716714100,1.0236519999998563,500.169979641589,507.00824108200135,0,0.0,0,0,1.9981505859375,8.170798399055233,33.922501247533184,512,4953.23867265625,4929.82245,5076.85744,5102.651772000001
1786376032742682500,1.0259702999974252,499.0397870204283,505.8625966085982,0,0.0,0,0,2.0050435546875,11.029520984710521,31.67771492126981,512,4977.414897851562,4937.879000000001,5150.9465,5177.670313
1786376033763675300,1.0209925000017392,501.47283158213975,508.3289054514268,0,0.0,0,0,1.9941525390625,7.867827969803366,29.744982852454623,512,4951.640462304687,4926.97235,5076.032209999999,5102.017049
1786376034789287000,1.02561169999899,499.2142737846148,506.0394689340138,0,0.0,0,0,2.0030658203125,7.360053074267265,28.194432390624723,512,4947.999263085938,4927.2562,5060.83288,5085.661389
1786376035811507300,1.0222192000001087,500.87104605347423,507.7188923862366,0,0.0,0,0,1.996603515625,8.493660591105323,26.82157930147022,512,4955.467570898438,4929.5445,5089.198505,5116.551077
1786376036839944900,1.02843760000178,497.8425526245966,504.648993773761,0,0.0,0,0,2.0080029296875,8.069612180454918,25.707136568005954,512,4952.164105078125,4928.00385,5076.2265800000005,5102.277451
1786376037859942200,1.0199972999980673,500.9817182858898,507.83107771557974,0,0.0,0,0,1.996455577299413,9.213354836502134,24.65387274000051,511,4963.469415068494,4932.781,5110.0016,5135.96837
1786376038883723400,1.0237825000003795,501.0829937020899,507.93373775661064,0,0.0,0,0,1.9959481481481482,7.232400488851144,23.719071588690024,513,4947.24231871345,4926.6214,5057.46156,5083.642760000001
1786376039938316700,1.054593400000158,485.4951680903022,492.1327973415368,0,0.0,0,0,2.0597560546875,8.92011645802774,23.438449334558634,512,4956.552328320313,4929.82725,5091.723555,5118.232948
1786376040938339500,1.000022899999749,518.9881151722929,526.083655809414,0,0.0,0,0,1.926977071290944,7.402003963247048,22.959696770399386,519,4955.826281888246,4929.3172,5091.1255,5118.6607300000005
1786376041956003400,1.0176634999988892,496.2347573638548,503.01921693718873,0,0.0,0,0,2.0149285148514853,7.478191052411527,22.333520695832036,505,4945.912104158416,4926.2319,5051.811,5077.727036
1786376042980624300,1.0246203999995487,499.6972537343835,506.5290521252833,0,0.0,0,0,2.0011732421875,7.485625333077275,21.69621175023364,512,4948.077647265625,4925.869549999999,5063.349135,5089.499458
1786376044004426600,1.0238023000019894,500.0965518430708,506.9338093878003,0,0.0,0,0,1.999641015625,8.82460519195793,21.106187608551398,512,4958.104605078125,4929.42155,5098.24193,5124.268961000001
1786376045028724300,1.024298299998918,499.85438812164466,506.68833483424527,0,0.0,0,0,2.00067890625,8.187330124717104,20.564267808726616,512,4952.701706445312,4927.118350000001,5081.120655000001,5107.920497
1786376046054632000,1.0259050000022398,499.0715514583535,505.89479532594817,0,0.0,0,0,2.0027263671875,8.079921330466314,20.07026459258547,512,4955.408398828125,4928.61085,5082.32974,5106.86275
1786376047077331300,1.0227017999968666,500.63469136513567,507.47930628614336,0,0.0,0,0,1.9984330078125,7.675911134664374,19.596544156643507,512,4949.759995703125,4926.66315,5069.78921,5096.697829
1786376049280785200,2.203453800000716,51.28312651709025,51.9842630124411,1,0.008771929824561403,0,0,19.49927168141593,184.9033502618161,97.45994187182846,113,5039.326768141594,5039.8681,5106.3357399999995,5112.172268
