label,time_filter,capture_start_utc,capture_end_utc,fps_mean,rate_kib_s_mean,loss_rate_max,crc_errors_total,interval_jitter_ms_mean,latency_p95_ms,latency_p99_ms,longest_missing_run,summary_path,bandwidth_jitter_kib_s_max,bandwidth_jitter_kib_s_mean,db_path,duration_s,expected_frames,fps_max,fps_min,frame_count,generated_at,interval_jitter_ms_max,latency_avg_ms,latency_count,latency_p50_ms,latency_window_p95_max_ms,loss_rate_mean,missing_frames_by_gaps,missing_frames_window_sum,old_frames_total,rate_kib_s_max,rate_kib_s_min,seq_max,seq_min,total_missing_by_seq
20260801_102141,last 10 minutes,2026-08-01T01:49:35.960486+00:00,2026-08-01T01:59:35.920548+00:00,20.000006167849254,80.27346225572309,0.0,0,51.48996591880597,1166.08817,1214.012503,1,reports\bandwidth_summary_20260801_102141.csv,4.976203075568841,2.0619290768271434,captures\bandwidth_capture.sqlite3,599.9600626,11959,20.912714512169327,18.654353484273965,11958,2026-08-01T02:21:41.142899+00:00,102.57982494772291,1038.010485950828,11958,1022.04505,1372.1002,0.0,1,0,0,83.93677406739837,74.87245392613868,680788,668830,1
20260801_104451,last 15 minutes,2026-08-01T02:29:40.064714+00:00,2026-08-01T02:44:40.046203+00:00,19.99083741255906,80.23666188048605,0.0,0,50.112980008226394,1145.200925,1188.349435,1,reports\bandwidth_summary_20260801_104451.csv,5.202606466260927,2.0207479151523096,captures\bandwidth_capture.sqlite3,899.9814885,17752,21.751663433726783,17.12070166764337,17746,2026-08-01T02:44:51.484622+00:00,81.44070643893065,1025.4241908204665,17746,1013.4440999999999,1369.7291,0.0,6,0,0,87.30403975841512,68.7168787636858,702271,684520,6
20260801_110007,last 10 minutes,2026-08-01T02:34:40.058763+00:00,2026-08-01T02:44:40.046203+00:00,19.988095700306538,80.22565754712878,0.0,0,49.73980091644258,1144.55512,1188.1564400000002,1,reports\bandwidth_summary_20260801_110007.csv,5.202606466260927,2.005559692035617,captures\bandwidth_capture.sqlite3,599.9874396,11793,21.751663433726783,17.12070166764337,11788,2026-08-01T03:00:07.082076+00:00,81.44070643893065,1025.2015902103835,11788,1013.15485,1369.7291,0.0,5,0,0,87.30403975841512,68.7168787636858,702271,690479,5
