cluster_id	ContamPct
0	62.2
1	77.9
2	99.2
3	83.7
4	107.7
5	0.0
6	96.1
7	57.2
8	73.1
9	0.0
10	70.1
11	97.7
12	8.2
13	97.8
14	0.0
15	98.8
16	64.3
17	107.6
18	90.1
19	0.0
20	163.6
21	0.0
22	118.6
23	191.7
24	0.0
25	125.6
26	0.0
27	140.5
28	207.4
29	123.0
30	0.0
31	99.7
32	114.2
33	81.0
34	0.0
35	89.4
36	0.0
37	359.6
38	8.9
39	15.0
40	0.0
41	123.5
42	108.7
43	0.0
44	95.9
45	24.7
46	95.1
47	88.7
48	72.5
49	0.0
50	78.4
51	0.0
52	122.2
53	128.6
54	67.8
55	0.0
56	115.3
57	44.6
58	79.0
59	0.0
60	112.0
61	111.6
62	137.4
63	105.5
64	0.0
65	73.1
66	118.7
67	14.4
68	0.0
69	0.0
70	64.7
71	386.7
72	114.3
73	114.0
74	0.0
75	0.0
76	71.2
77	110.5
78	0.0
79	78.7
80	112.8
81	0.0
82	0.0
83	0.0
84	177.4
85	182.9
86	152.6
87	0.0
88	0.0
89	92.7
90	112.1
91	0.0
92	92.0
93	99.6
94	0.0
95	9.3
96	0.0
97	0.0
98	89.8
99	109.7
100	162.2
101	26.9
102	0.0
103	0.0
104	93.5
105	105.8
106	86.8
107	96.7
108	103.8
109	69.4
110	77.0
111	91.1
112	100.8
113	0.0
114	101.8
115	95.8
116	91.3
117	78.5
118	0.0
119	22.9
120	0.0
121	71.7
122	0.0
123	78.3
124	92.4
125	76.8
126	0.0
127	0.0
128	0.0
129	64.5
130	0.0
131	112.5
132	88.3
133	60.5
134	80.6
135	0.0
136	66.9
137	81.5
138	18.5
139	0.0
140	92.8
141	75.9
142	57.9
143	0.0
144	0.0
145	341.5
146	110.5
147	105.4
148	0.0
149	101.7
150	24.9
151	0.0
152	106.0
153	8.6
154	108.6
155	62.2
156	96.6
157	0.0
158	0.0
159	79.4
160	111.1
161	57.3
162	0.0
163	3.0
164	90.8
165	0.0
166	0.0
167	63.2
168	0.0
169	106.4
170	0.0
171	0.0
172	0.0
173	101.6
174	85.9
175	99.4
176	0.0
177	52.9
178	0.0
179	68.2
180	71.8
181	109.8
182	78.3
183	58.4
184	61.0
185	103.0
186	0.0
187	79.6
188	71.9
189	92.0
190	109.5
191	107.0
192	0.0
193	0.0
194	80.2
195	81.8
196	65.7
197	79.6
198	78.1
199	104.7
200	88.4
201	92.7
202	86.4
203	105.5
204	78.2
205	102.1
206	99.9
207	72.4
208	103.2
209	105.3
210	105.0
211	0.0
212	107.6
213	102.2
214	108.6
215	99.4
216	91.2
217	65.3
218	98.4
219	97.6
220	58.0
221	0.0
222	80.1
223	92.5
224	88.5
225	89.1
226	110.0
227	84.6
228	80.1
229	0.0
230	121.1
231	90.2
232	103.3
233	21.5
234	95.8
235	35.6
236	99.8
237	101.6
238	95.7
239	106.8
240	0.0
241	82.9
242	98.8
243	60.3
244	95.8
245	0.0
246	161.6
247	101.7
248	0.0
249	0.0
250	96.4
251	0.0
252	101.2
253	103.5
254	97.2
255	0.0
256	87.6
257	91.0
258	77.9
259	0.0
260	107.2
261	95.2
262	82.8
263	93.1
264	106.2
265	89.9
266	77.5
267	85.0
268	101.9
269	102.5
270	0.0
271	93.3
272	99.4
273	100.2
274	86.0
275	91.2
276	87.1
277	101.7
278	0.0
279	49.8
280	0.0
281	73.3
282	132.3
283	0.0
284	111.1
285	105.8
286	122.9
287	0.0
288	86.6
289	99.8
290	32.0
291	75.6
292	0.0
293	0.0
294	65.2
295	104.3
296	99.7
297	101.7
298	126.7
299	0.0
300	0.0
301	35.6
302	117.5
303	123.6
304	0.0
305	74.0
306	70.5
307	89.2
308	64.4
309	0.0
310	170.2
311	124.0
312	116.8
313	130.0
314	139.4
315	73.6
316	115.1
317	0.0
318	68.7
319	0.0
320	87.7
321	81.5
322	0.0
323	11.5
324	0.0
325	0.0
326	104.2
327	317.4
328	80.0
329	77.0
330	73.0
331	18.4
332	0.0
333	101.4
334	107.7
335	66.9
336	88.5
337	78.7
338	0.0
339	56.4
340	0.0
341	81.8
342	63.1
343	93.0
344	108.5
345	60.6
346	95.7
347	83.3
348	80.5
349	82.8
350	57.3
351	69.2
352	110.9
