cluster_id	ContamPct
0	0.0
1	168.7
2	425.8
3	71.7
4	24.4
5	0.0
6	42.6
7	95.9
8	53.0
9	134.3
10	0.0
11	306.4
12	155.5
13	46.9
14	113.3
15	153.5
16	200.0
17	65.8
18	0.0
19	66.0
20	0.0
21	60.9
22	55.8
23	72.6
24	24.7
25	56.0
26	89.8
27	8.1
28	74.5
29	75.0
30	36.7
31	27.2
32	111.3
33	71.8
34	72.8
35	66.1
36	72.7
37	87.0
38	65.6
39	43.8
40	58.8
41	127.4
42	45.6
43	374.2
44	0.0
45	0.0
46	115.3
47	65.8
48	119.7
49	81.1
50	64.5
51	80.9
52	110.1
53	0.0
54	59.7
55	62.0
56	58.8
57	0.0
58	0.0
59	0.0
60	35.3
61	60.3
62	78.1
63	157.3
64	52.9
65	0.0
66	62.9
67	74.9
68	129.4
69	22.3
70	89.6
71	79.0
72	13.3
73	53.3
74	0.0
75	64.0
76	70.9
77	71.5
78	28.2
79	90.4
80	48.7
81	24.7
82	90.1
83	25.5
84	173.1
85	0.0
86	25.9
87	65.6
88	57.4
89	106.5
90	145.3
91	41.2
92	51.4
93	124.1
94	0.0
95	0.0
96	0.0
97	0.0
98	9.9
99	17.8
100	0.0
101	38.4
102	44.9
103	51.6
104	117.1
105	82.3
106	53.5
107	156.9
108	48.0
109	106.7
110	97.6
111	51.7
112	100.0
113	58.5
114	0.0
115	45.2
116	25.0
117	0.0
118	78.1
119	63.8
120	34.4
121	98.1
122	0.0
123	66.7
124	36.4
125	73.6
126	51.3
127	31.5
128	24.7
129	38.8
130	52.7
131	146.0
132	81.6
133	54.4
134	79.4
135	25.6
136	55.0
137	0.0
138	137.9
139	30.5
140	109.9
141	17.0
142	17.2
143	123.7
144	0.0
145	49.1
146	34.6
147	83.2
148	67.3
149	13.2
150	35.7
151	78.0
152	71.4
153	71.9
154	37.1
155	57.7
156	90.9
157	55.2
158	5.0
159	37.9
160	0.0
161	159.0
162	56.3
163	62.5
164	10.0
165	67.1
166	56.6
167	16.8
168	35.0
169	47.0
170	76.6
171	46.1
172	30.1
173	48.6
174	1.5
175	51.6
176	103.4
177	62.9
178	66.6
179	5.6
180	11.3
181	38.7
182	6.2
183	0.0
184	0.0
185	55.9
186	50.7
187	69.9
188	0.0
189	73.7
190	97.4
191	89.3
192	19.7
193	25.9
194	59.4
195	90.0
196	106.7
197	16.6
