compression_ratio,predicted_probe_accuracy_mean,meets_min_accuracy_threshold,probe_name,run_label,eid,probe
0.859375,0.8177846187537664,True,8ca740c5_probe00_partial_20260712_222836_ratio_1.00,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00
0.8875,0.7742787964566479,False,8ca740c5_probe00_partial_20260712_222836_ratio_1.00,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00
0.915625,0.7272807665183151,False,8ca740c5_probe00_partial_20260712_222836_ratio_1.00,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00
0.94375,0.676790528938767,False,8ca740c5_probe00_partial_20260712_222836_ratio_1.00,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00
0.971875,0.6228080837180034,False,8ca740c5_probe00_partial_20260712_222836_ratio_1.00,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00
1.0,1.0,True,8ca740c5_probe00_partial_20260712_222836_ratio_1.00,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00
0.1,0.6684659521122861,False,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.12812500000000002,0.7192497361279712,False,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.15625,0.7665413125024412,False,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.184375,0.8103406812356964,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.21250000000000002,0.8506478423277365,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.240625,0.8874627957785619,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.26875000000000004,0.920785541588172,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.296875,0.9504339107645493,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.325,0.973052780885176,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.353125,0.986776846335486,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.38125,0.9934515686353994,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.40937500000000004,0.9964999242385287,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.4375,0.9978452222401408,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.46562500000000007,0.9984996457144816,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.49375,0.9988021672418792,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.521875,0.9988959584464983,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.55,0.9988167123355617,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.578125,0.9985366695893098,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.60625,0.9979205922710409,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.634375,0.9966587363838508,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.6625,0.9937924601420556,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.690625,0.9875896721632277,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.71875,0.9746258400273636,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.746875,0.9526533115736774,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.775,0.9234274595134042,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.803125,0.8903982601399305,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.83125,0.8538768531252424,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.859375,0.8138632384693391,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.8875,0.7703574161722204,False,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.915625,0.7233593862338874,False,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.94375,0.6728691486543396,False,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.971875,0.618886703433576,False,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
1.0,1.0,True,cde63527_probe01_partial_20260712_222836_ratio_1.00,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01
0.1,0.6357194605919405,False,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.12812500000000002,0.6865032446076257,False,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.15625,0.7337948209820957,False,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.184375,0.777594189715351,False,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.21250000000000002,0.817901350807391,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.240625,0.8547163042582164,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.26875000000000004,0.8880390500678267,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.296875,0.9178695882362221,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.325,0.9440774580152947,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.353125,0.9650641443520102,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.38125,0.978862083389594,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.40937500000000004,0.9861318106875051,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.4375,0.9900921020229508,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.46562500000000007,0.9922676337065336,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.49375,0.9933219015353255,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.521875,0.9936634692074712,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.55,0.9933757303439081,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.578125,0.9923944106776686,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.60625,0.9903321200076564,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.634375,0.98654944128526,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.6625,0.979677433070972,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.690625,0.9665260376822671,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.71875,0.9460772881821455,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.746875,0.9202179597253173,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.775,0.8906809679930586,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.803125,0.8576517686195851,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.83125,0.8211303616048969,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.859375,0.7811167469489936,False,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.8875,0.7376109246518748,False,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.915625,0.690612894713542,False,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.94375,0.6401226571339941,False,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
0.971875,0.5861402119132305,False,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
1.0,1.0,True,dd4da095_probe00_partial_20260712_222836_ratio_1.00,dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00
