run_label,eid,probe,probe_name,recommended_keep_ratio,recommended_predicted_probe_accuracy_mean,selection_rule,threshold_feasible,min_accuracy_threshold,ks_nearest_chans,ks_n_pcs,template_nonzero_channel_median,ks_dir
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,8ca740c5_probe00_partial_20260712_222836_ratio_1.00,0.184375,0.8142620615201238,minimum_keep_ratio_meeting_threshold,True,0.8,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,cde63527_probe01_partial_20260712_222836_ratio_1.00,0.184375,0.8103406812356964,minimum_keep_ratio_meeting_threshold,True,0.8,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,dd4da095_probe00_partial_20260712_222836_ratio_1.00,0.21250000000000002,0.817901350807391,minimum_keep_ratio_meeting_threshold,True,0.8,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
